scenario_id,scenario_type,w_corpus_adequacy_score,w_normalization_stability_score,w_template_predictability_score,w_out_of_sample_performance_score,w_adversarial_robustness_score,raw_confidence,capped_confidence
rand_253,random_weights,0.192914,0.025636,0.248128,0.289692,0.243630,61.829746,61.829746
rand_254,random_weights,0.125683,0.345657,0.052142,0.279374,0.197143,77.648342,77.648342
rand_255,random_weights,0.197418,0.457811,0.146365,0.126773,0.071634,80.026294,80.026294
rand_256,random_weights,0.114245,0.160848,0.255658,0.234318,0.234932,63.876388,63.876388
rand_257,random_weights,0.420499,0.247573,0.158259,0.118006,0.055663,80.298259,80.298259
rand_258,random_weights,0.006213,0.263080,0.266095,0.318651,0.145961,60.246227,60.246227
rand_259,random_weights,0.278750,0.286351,0.073102,0.079688,0.282109,84.595559,84.595559
rand_260,random_weights,0.209046,0.231319,0.152395,0.159722,0.247518,75.210396,75.210396
rand_261,random_weights,0.012969,0.339927,0.198661,0.364726,0.083717,64.122741,64.122741
rand_262,random_weights,0.263717,0.155697,0.130392,0.015491,0.434703,80.884192,80.884192
rand_263,random_weights,0.387413,0.046874,0.266538,0.009329,0.289845,73.535823,73.535823
rand_264,random_weights,0.262292,0.124623,0.061041,0.312637,0.239407,75.014588,75.014588
rand_265,random_weights,0.295920,0.077346,0.313331,0.152326,0.161077,65.042258,65.042258
rand_266,random_weights,0.168868,0.238836,0.228177,0.268672,0.095446,66.651224,66.651224
rand_267,random_weights,0.367483,0.169692,0.161702,0.031868,0.269255,80.623270,80.623270
rand_268,random_weights,0.234206,0.102980,0.310935,0.068193,0.283686,67.146507,67.146507
rand_269,random_weights,0.210001,0.059943,0.315843,0.213935,0.200279,61.092452,61.092452
rand_270,random_weights,0.055036,0.268153,0.066218,0.104526,0.506067,79.850590,79.850590
rand_271,random_weights,0.169556,0.159647,0.206731,0.237963,0.226102,67.642458,67.642458
rand_272,random_weights,0.156233,0.337904,0.317179,0.066294,0.122391,69.176335,69.176335
rand_273,random_weights,0.160502,0.099265,0.233163,0.293815,0.213254,63.171887,63.171887
rand_274,random_weights,0.212124,0.223585,0.221474,0.149767,0.193050,71.372437,71.372437
rand_275,random_weights,0.239339,0.288153,0.069123,0.112311,0.291074,83.105097,83.105097
rand_276,random_weights,0.009865,0.247897,0.271816,0.284349,0.186072,60.822193,60.822193
rand_277,random_weights,0.152754,0.173228,0.191901,0.149935,0.332181,71.230719,71.230719
rand_278,random_weights,0.131642,0.151117,0.266384,0.228877,0.221981,63.575779,63.575779
rand_279,random_weights,0.313044,0.237208,0.354972,0.062939,0.031836,68.290050,68.290050
rand_280,random_weights,0.022176,0.047760,0.328293,0.354216,0.247554,52.281702,52.281702
rand_281,random_weights,0.177249,0.284943,0.106046,0.325370,0.106392,72.963810,72.963810
rand_282,random_weights,0.172970,0.100053,0.224062,0.273004,0.229911,64.611678,64.611678
rand_283,random_weights,0.232115,0.164740,0.096796,0.285863,0.220486,73.843183,73.843183
rand_284,random_weights,0.228737,0.259874,0.099367,0.153045,0.258977,79.375133,79.375133
rand_285,random_weights,0.533731,0.031916,0.317602,0.061346,0.055406,71.284056,71.284056
rand_286,random_weights,0.207719,0.174580,0.234725,0.232662,0.150315,67.088217,67.088217
rand_287,random_weights,0.061122,0.344609,0.287196,0.206003,0.101069,64.883580,64.883580
rand_288,random_weights,0.244584,0.014742,0.129245,0.341241,0.270187,67.989867,67.989867
rand_289,random_weights,0.232214,0.260576,0.265903,0.230383,0.010923,67.137455,67.137455
rand_290,random_weights,0.311529,0.319433,0.166872,0.024424,0.177742,81.931067,81.931067
rand_291,random_weights,0.211958,0.134632,0.209290,0.160611,0.283510,70.322504,70.322504
rand_292,random_weights,0.339881,0.188477,0.050741,0.161649,0.259252,82.858965,82.858965
rand_293,random_weights,0.164314,0.166417,0.362750,0.220389,0.086131,58.983784,58.983784
rand_294,random_weights,0.035026,0.139897,0.264562,0.095196,0.465319,65.997084,65.997084
rand_295,random_weights,0.257022,0.016054,0.232800,0.302712,0.191412,63.335935,63.335935
rand_296,random_weights,0.091196,0.191942,0.246115,0.251001,0.219746,63.988358,63.988358
rand_297,random_weights,0.241846,0.221838,0.134783,0.184972,0.216561,75.894606,75.894606
rand_298,random_weights,0.040439,0.051500,0.304758,0.220095,0.383207,58.331488,58.331488
rand_299,random_weights,0.172812,0.187885,0.249308,0.075415,0.314580,70.803705,70.803705
rand_300,random_weights,0.147472,0.151271,0.157310,0.340273,0.203674,66.776880,66.776880
rand_301,random_weights,0.353481,0.361308,0.042351,0.141399,0.101460,87.011361,84.990000
rand_302,random_weights,0.208010,0.241217,0.246306,0.249494,0.054973,66.938991,66.938991
rand_303,random_weights,0.090797,0.317316,0.336457,0.012875,0.242555,68.214365,68.214365
rand_304,random_weights,0.375288,0.096269,0.100968,0.260450,0.167024,75.914795,75.914795
rand_305,random_weights,0.038087,0.289002,0.201989,0.198620,0.272301,68.850766,68.850766
rand_306,random_weights,0.317331,0.374693,0.067176,0.115743,0.125056,85.914779,84.990000
rand_307,random_weights,0.070667,0.119193,0.302343,0.235303,0.272493,59.623642,59.623642
rand_308,random_weights,0.268810,0.217004,0.196553,0.244252,0.073380,70.768339,70.768339
rand_309,random_weights,0.255585,0.251480,0.152258,0.321248,0.019429,71.251215,71.251215
rand_310,random_weights,0.277517,0.158675,0.184077,0.109664,0.270067,75.012022,75.012022
rand_311,random_weights,0.213474,0.234149,0.269835,0.076038,0.206504,71.049442,71.049442
rand_312,random_weights,0.326105,0.162903,0.298035,0.038949,0.174008,71.470640,71.470640
rand_313,random_weights,0.329698,0.100348,0.280909,0.190175,0.098870,66.739445,66.739445
rand_314,random_weights,0.174528,0.108072,0.221146,0.284460,0.211794,64.576482,64.576482
rand_315,random_weights,0.446085,0.135283,0.271545,0.102398,0.044688,72.761778,72.761778
rand_316,random_weights,0.251438,0.014458,0.021573,0.373287,0.339245,73.461098,73.461098
rand_317,random_weights,0.362830,0.275859,0.113104,0.070033,0.178174,83.898322,83.898322
rand_318,random_weights,0.373820,0.195912,0.169568,0.094000,0.166700,78.716743,78.716743
rand_319,random_weights,0.391559,0.055917,0.375106,0.026319,0.151099,66.792484,66.792484
rand_320,random_weights,0.219641,0.393418,0.303674,0.056365,0.026902,72.332968,72.332968
rand_321,random_weights,0.014219,0.360118,0.338238,0.128914,0.158512,63.709844,63.709844
rand_322,random_weights,0.125390,0.116798,0.157130,0.161599,0.439084,71.516303,71.516303
rand_323,random_weights,0.115988,0.087329,0.348239,0.342541,0.105902,53.813117,53.813117
rand_324,random_weights,0.026011,0.350763,0.406246,0.074628,0.142352,61.477668,61.477668
rand_325,random_weights,0.049647,0.285831,0.085895,0.268533,0.310093,73.655493,73.655493
rand_326,random_weights,0.217073,0.163789,0.264307,0.102979,0.251852,69.459819,69.459819
rand_327,random_weights,0.171201,0.345913,0.042366,0.076538,0.363981,85.509628,84.990000
rand_328,random_weights,0.156836,0.235690,0.204513,0.248262,0.154698,68.431014,68.431014
rand_329,random_weights,0.203697,0.498813,0.026366,0.257338,0.013786,83.743711,83.743711
rand_330,random_weights,0.356094,0.063340,0.202202,0.223789,0.154574,70.215406,70.215406
rand_331,random_weights,0.225564,0.298997,0.078108,0.289880,0.107451,76.849381,76.849381
rand_332,random_weights,0.080841,0.195091,0.070473,0.067893,0.585702,80.064730,80.064730
rand_333,random_weights,0.039768,0.015740,0.594185,0.235009,0.115299,40.149790,40.149790
rand_334,random_weights,0.340261,0.063648,0.311629,0.230089,0.054373,63.257812,63.257812
rand_335,random_weights,0.380190,0.295426,0.109838,0.142533,0.072012,82.414821,82.414821
rand_336,random_weights,0.111734,0.031035,0.039942,0.532549,0.284740,65.032336,65.032336
rand_337,random_weights,0.162445,0.235323,0.236759,0.136381,0.229092,70.177450,70.177450
rand_338,random_weights,0.129218,0.288799,0.327685,0.166793,0.087505,64.081657,64.081657
rand_339,random_weights,0.299724,0.114413,0.289412,0.179813,0.116639,66.245395,66.245395
rand_340,random_weights,0.315562,0.296076,0.082287,0.256221,0.049854,79.263639,79.263639
rand_341,random_weights,0.103708,0.136088,0.394029,0.220670,0.145506,55.536235,55.536235
rand_342,random_weights,0.212998,0.302644,0.306694,0.033216,0.144448,71.317569,71.317569
rand_343,random_weights,0.119176,0.185683,0.078725,0.112609,0.503808,78.701688,78.701688
rand_344,random_weights,0.129247,0.073022,0.109618,0.268290,0.419823,70.304257,70.304257
rand_345,random_weights,0.204902,0.190718,0.219251,0.080464,0.304665,73.050661,73.050661
rand_346,random_weights,0.323702,0.022577,0.490462,0.071583,0.091675,56.760049,56.760049
rand_347,random_weights,0.154408,0.286202,0.299738,0.065480,0.194171,69.373787,69.373787
rand_348,random_weights,0.041920,0.176780,0.342119,0.164860,0.274321,59.908582,59.908582
rand_349,random_weights,0.497083,0.116662,0.163452,0.138977,0.083825,78.623810,78.623810
rand_350,random_weights,0.221444,0.195375,0.237024,0.225242,0.120915,67.770600,67.770600
rand_351,random_weights,0.193307,0.047041,0.282676,0.224180,0.252795,62.218679,62.218679
rand_352,random_weights,0.264572,0.218916,0.018102,0.211068,0.287342,82.334747,82.334747
rand_353,random_weights,0.137132,0.354304,0.185820,0.024900,0.297844,78.178950,78.178950
