scenario_id,scenario_type,w_corpus_adequacy_score,w_normalization_stability_score,w_template_predictability_score,w_out_of_sample_performance_score,w_adversarial_robustness_score,raw_confidence,capped_confidence
rand_063,random_weights,0.054091,0.403606,0.117958,0.058561,0.365783,80.400721,80.400721
rand_064,random_weights,0.182818,0.221661,0.009860,0.230111,0.355551,80.772867,80.772867
rand_065,random_weights,0.292848,0.053056,0.311726,0.193356,0.149014,63.387982,63.387982
rand_066,random_weights,0.327517,0.082174,0.062183,0.166490,0.361635,80.102672,80.102672
rand_067,random_weights,0.080872,0.298071,0.299804,0.313323,0.007930,60.339749,60.339749
rand_068,random_weights,0.065561,0.399966,0.125423,0.182351,0.226699,76.172940,76.172940
rand_069,random_weights,0.110410,0.293466,0.050004,0.252433,0.293687,77.518781,77.518781
rand_070,random_weights,0.277322,0.051707,0.406861,0.034115,0.229995,62.519515,62.519515
rand_071,random_weights,0.187346,0.195706,0.243266,0.111730,0.261952,70.395890,70.395890
rand_072,random_weights,0.326101,0.199245,0.142303,0.046692,0.285659,81.019168,81.019168
rand_073,random_weights,0.308601,0.045227,0.278420,0.118639,0.249114,67.896034,67.896034
rand_074,random_weights,0.045429,0.258241,0.228829,0.415189,0.052313,60.017220,60.017220
rand_075,random_weights,0.318477,0.041514,0.224379,0.129614,0.286017,70.864547,70.864547
rand_076,random_weights,0.247185,0.194555,0.178441,0.252035,0.127785,70.839820,70.839820
rand_077,random_weights,0.352817,0.045027,0.297509,0.235158,0.069490,63.862678,63.862678
rand_078,random_weights,0.310067,0.129536,0.331536,0.129709,0.099152,65.776771,65.776771
rand_079,random_weights,0.318066,0.036561,0.277086,0.326699,0.041588,61.391962,61.391962
rand_080,random_weights,0.153083,0.247743,0.240781,0.127808,0.230586,70.240406,70.240406
rand_081,random_weights,0.126090,0.129967,0.222692,0.232048,0.289203,65.620488,65.620488
rand_082,random_weights,0.268355,0.183125,0.118969,0.054188,0.375363,80.852527,80.852527
rand_083,random_weights,0.345743,0.088467,0.381007,0.146028,0.038755,62.323263,62.323263
rand_084,random_weights,0.284335,0.269700,0.166305,0.116929,0.162731,77.732413,77.732413
rand_085,random_weights,0.198773,0.082146,0.304630,0.320232,0.094218,58.526278,58.526278
rand_086,random_weights,0.240944,0.169263,0.330299,0.044167,0.215327,67.947852,67.947852
rand_087,random_weights,0.232581,0.253356,0.270697,0.035110,0.208256,72.954950,72.954950
rand_088,random_weights,0.233272,0.193740,0.171485,0.229476,0.172028,71.702518,71.702518
rand_089,random_weights,0.200314,0.176287,0.276267,0.279169,0.067963,63.044086,63.044086
rand_090,random_weights,0.032891,0.303702,0.166196,0.199143,0.298067,71.092260,71.092260
rand_091,random_weights,0.238648,0.206727,0.162240,0.241520,0.150865,72.172040,72.172040
rand_092,random_weights,0.344546,0.192271,0.200010,0.150344,0.112829,74.532887,74.532887
rand_093,random_weights,0.175983,0.158136,0.282859,0.356510,0.026512,59.461377,59.461377
rand_094,random_weights,0.007427,0.240445,0.275714,0.152325,0.324089,64.626553,64.626553
rand_095,random_weights,0.116743,0.317848,0.127662,0.287384,0.150363,72.318122,72.318122
rand_096,random_weights,0.269695,0.301096,0.283338,0.023357,0.122514,74.019924,74.019924
rand_097,random_weights,0.014404,0.276360,0.251458,0.168908,0.288870,66.235721,66.235721
rand_098,random_weights,0.158828,0.010166,0.565630,0.073267,0.192109,49.060344,49.060344
rand_099,random_weights,0.149387,0.237005,0.270519,0.087912,0.255176,69.510792,69.510792
rand_100,random_weights,0.068927,0.198412,0.225907,0.252500,0.254253,64.834407,64.834407
rand_101,random_weights,0.185078,0.421796,0.077731,0.053135,0.262260,85.627962,84.990000
rand_102,random_weights,0.270801,0.215377,0.152269,0.263009,0.098544,72.802070,72.802070
rand_103,random_weights,0.047461,0.187440,0.347669,0.151572,0.265858,60.274188,60.274188
rand_104,random_weights,0.095831,0.197229,0.298114,0.033451,0.375376,67.999220,67.999220
rand_105,random_weights,0.333410,0.137734,0.129380,0.171131,0.228345,76.975483,76.975483
rand_106,random_weights,0.148886,0.521491,0.087123,0.162512,0.079987,82.530005,82.530005
rand_107,random_weights,0.162093,0.123554,0.346266,0.052094,0.315994,64.584947,64.584947
rand_108,random_weights,0.157011,0.250651,0.017629,0.426122,0.148588,74.073863,74.073863
rand_109,random_weights,0.365238,0.200617,0.098435,0.216426,0.119284,78.950928,78.950928
rand_110,random_weights,0.128858,0.354676,0.115864,0.156670,0.243932,77.982605,77.982605
rand_111,random_weights,0.233782,0.223713,0.198476,0.198853,0.145177,71.568252,71.568252
rand_112,random_weights,0.094685,0.243010,0.331951,0.243051,0.087304,60.043253,60.043253
rand_113,random_weights,0.135744,0.061228,0.400194,0.122775,0.280059,57.670221,57.670221
rand_114,random_weights,0.177885,0.262872,0.133317,0.195188,0.230739,75.148891,75.148891
rand_115,random_weights,0.304333,0.237211,0.054030,0.173859,0.230566,82.408648,82.408648
rand_116,random_weights,0.071183,0.036371,0.191693,0.310027,0.390725,62.478274,62.478274
rand_117,random_weights,0.150087,0.478428,0.181935,0.061080,0.128470,79.479429,79.479429
rand_118,random_weights,0.244151,0.253596,0.076968,0.274142,0.151143,77.029314,77.029314
rand_119,random_weights,0.283031,0.329174,0.099470,0.171344,0.116981,80.883698,80.883698
rand_120,random_weights,0.374069,0.261537,0.297472,0.048801,0.018121,73.641310,73.641310
rand_121,random_weights,0.536725,0.046366,0.062896,0.123601,0.230413,84.658919,84.658919
rand_122,random_weights,0.328767,0.269368,0.018140,0.008999,0.374725,90.733843,84.990000
rand_123,random_weights,0.099647,0.245443,0.229396,0.231556,0.193958,66.605443,66.605443
rand_124,random_weights,0.284172,0.285614,0.109301,0.069251,0.251661,82.872754,82.872754
rand_125,random_weights,0.306630,0.004121,0.199133,0.162856,0.327259,70.487270,70.487270
rand_126,random_weights,0.451878,0.311923,0.060771,0.127358,0.048070,87.368882,84.990000
rand_127,random_weights,0.224739,0.311164,0.079474,0.133375,0.251249,81.925262,81.925262
rand_128,random_weights,0.252740,0.081381,0.161092,0.258488,0.246298,69.951775,69.951775
rand_129,random_weights,0.128904,0.277197,0.370494,0.212904,0.010501,59.891262,59.891262
rand_130,random_weights,0.325355,0.288630,0.023484,0.328813,0.033718,80.493155,80.493155
rand_131,random_weights,0.099543,0.204411,0.177838,0.298907,0.219302,66.855609,66.855609
rand_132,random_weights,0.246136,0.306563,0.205629,0.097920,0.143752,75.904920,75.904920
rand_133,random_weights,0.064373,0.130373,0.324178,0.375093,0.105982,53.950647,53.950647
rand_134,random_weights,0.286046,0.068135,0.008781,0.302617,0.334421,77.953750,77.953750
rand_135,random_weights,0.490878,0.111043,0.187325,0.067554,0.143200,79.279993,79.279993
rand_136,random_weights,0.169277,0.119541,0.186181,0.264271,0.260729,67.374997,67.374997
rand_137,random_weights,0.255638,0.263900,0.170833,0.053635,0.255994,78.862359,78.862359
rand_138,random_weights,0.325123,0.378033,0.056587,0.157712,0.082546,85.401836,84.990000
rand_139,random_weights,0.130428,0.295384,0.219203,0.284774,0.070210,66.875054,66.875054
rand_140,random_weights,0.192786,0.196016,0.250730,0.275216,0.085252,64.859168,64.859168
rand_141,random_weights,0.126312,0.294885,0.045505,0.292812,0.240486,76.812967,76.812967
rand_142,random_weights,0.032184,0.325373,0.204779,0.084660,0.353005,72.784127,72.784127
rand_143,random_weights,0.133491,0.399322,0.037409,0.223005,0.206772,81.313099,81.313099
rand_144,random_weights,0.365986,0.098960,0.250182,0.202252,0.082620,68.811471,68.811471
rand_145,random_weights,0.243057,0.099060,0.265642,0.258904,0.133338,63.859690,63.859690
rand_146,random_weights,0.167009,0.099721,0.254437,0.353891,0.124942,60.128486,60.128486
rand_147,random_weights,0.369551,0.302101,0.058715,0.175177,0.094457,84.314467,84.314467
rand_148,random_weights,0.215490,0.176558,0.174319,0.119294,0.314338,74.440301,74.440301
rand_149,random_weights,0.151649,0.143970,0.248452,0.232945,0.222984,64.757069,64.757069
rand_150,random_weights,0.212237,0.037882,0.275554,0.398646,0.075681,57.289815,57.289815
rand_151,random_weights,0.093174,0.210171,0.103903,0.330678,0.262074,70.195667,70.195667
rand_152,random_weights,0.104563,0.435334,0.124453,0.144929,0.190722,78.695864,78.695864
rand_153,random_weights,0.377943,0.218938,0.109305,0.260662,0.033152,77.425327,77.425327
rand_154,random_weights,0.324284,0.034900,0.258263,0.370948,0.011606,61.185021,61.185021
rand_155,random_weights,0.114328,0.048674,0.304888,0.226750,0.305359,59.411663,59.411663
rand_156,random_weights,0.032759,0.445890,0.221258,0.198161,0.101932,70.137942,70.137942
rand_157,random_weights,0.241008,0.315289,0.206529,0.086364,0.150810,76.265424,76.265424
rand_158,random_weights,0.295493,0.277497,0.096234,0.175313,0.155463,80.349078,80.349078
rand_159,random_weights,0.271291,0.261832,0.008240,0.283631,0.175006,81.419351,81.419351
rand_160,random_weights,0.313236,0.021468,0.207876,0.304506,0.152914,65.863054,65.863054
rand_161,random_weights,0.217832,0.177806,0.097666,0.288615,0.218081,73.653243,73.653243
rand_162,random_weights,0.315367,0.154912,0.212289,0.272978,0.044454,68.777936,68.777936
rand_163,random_weights,0.223868,0.171126,0.349323,0.173707,0.081976,62.421836,62.421836
rand_164,random_weights,0.024158,0.181330,0.364961,0.415782,0.013770,50.327099,50.327099
rand_165,random_weights,0.223179,0.204593,0.154381,0.276631,0.141216,71.204764,71.204764
rand_166,random_weights,0.011486,0.254326,0.215076,0.274497,0.244615,64.624710,64.624710
rand_167,random_weights,0.109296,0.170094,0.132228,0.158489,0.429894,73.648134,73.648134
rand_168,random_weights,0.040337,0.017475,0.460655,0.416443,0.065090,42.317983,42.317983
rand_169,random_weights,0.012699,0.230056,0.377327,0.232968,0.146950,55.980058,55.980058
rand_170,random_weights,0.297437,0.238188,0.347127,0.090925,0.026323,67.595897,67.595897
rand_171,random_weights,0.031237,0.198003,0.195519,0.334646,0.240594,63.327440,63.327440
rand_172,random_weights,0.323826,0.051179,0.284208,0.126428,0.214358,67.678160,67.678160
rand_173,random_weights,0.035703,0.144857,0.308585,0.168731,0.342123,61.145665,61.145665
rand_174,random_weights,0.134060,0.206517,0.238180,0.166127,0.255116,68.170067,68.170067
rand_175,random_weights,0.117533,0.269164,0.257984,0.241632,0.113687,65.298607,65.298607
rand_176,random_weights,0.089831,0.123672,0.248406,0.186217,0.351874,64.796151,64.796151
rand_177,random_weights,0.057232,0.305529,0.161254,0.289303,0.186682,68.989663,68.989663
rand_178,random_weights,0.261094,0.117369,0.103765,0.250890,0.266882,74.312664,74.312664
rand_179,random_weights,0.409640,0.025888,0.199604,0.049346,0.315522,76.291998,76.291998
rand_180,random_weights,0.205449,0.085078,0.277019,0.192060,0.240393,64.404209,64.404209
rand_181,random_weights,0.151913,0.050780,0.288248,0.209637,0.299422,61.658032,61.658032
rand_182,random_weights,0.331159,0.079431,0.038325,0.366401,0.184685,75.179116,75.179116
rand_183,random_weights,0.030839,0.275048,0.286384,0.334242,0.073487,59.189645,59.189645
