entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
542,CLINE_0542,HT 13,RE ZA,,RE ZA,RE ZA,RE ZA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
543,CLINE_0543,HT 13,TE KI,,TE KI,TE KI,TE KI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
544,CLINE_0544,HT 13,TE TU,,TE TU,TE TU,TE TU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
545,CLINE_0545,HT 13,VINA TE,,VINA TE,VINA TE,VINA TE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
546,CLINE_0546,HT 130,AB02,,AB02,AB02,AB02,1,1,1,http://sigla.phis.me/document/HT%20130/index-word.html
547,CLINE_0547,HT 130,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%20130/index-word.html
548,CLINE_0548,HT 130,AB76,,AB76,AB76,AB76,1,1,1,http://sigla.phis.me/document/HT%20130/index-word.html
549,CLINE_0549,HT 130,FIC,,FIC,FIC,FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
550,CLINE_0550,HT 130,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
551,CLINE_0551,HT 130,VINA,,VINA,VINA,VINA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
552,CLINE_0552,HT 131,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
553,CLINE_0553,HT 131,I QA,,I QA,I QA,I QA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
