entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
1,CLINE_0001,ARKH 1,A PA,,A PA,A PA,A PA,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
2,CLINE_0002,ARKH 1,A RA[,,A RA[,A RA[,A RA[,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
3,CLINE_0003,ARKH 1,PA RE,,PA RE,PA RE,PA RE,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
4,CLINE_0004,ARKH 1,]A SU MI,,]A SU MI,]A SU MI,]A SU MI,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
5,CLINE_0005,ARKH 1,]MI KI SA NE[,,]MI KI SA NE[,]MI KI SA NE[,]MI KI SA NE[,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
6,CLINE_0006,ARKH 1,]PA3[,,]PA3[,]PA3[,]PA3[,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
7,CLINE_0007,ARKH 1,]TA PI,,]TA PI,]TA PI,]TA PI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
8,CLINE_0008,ARKH 1A,AB08 AB03 [?],,AB08 AB03 [?],AB08 AB03 [?],AB08 AB03 [?],3,3,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
9,CLINE_0009,ARKH 1A,AB08 AB58 AB73 AB118,,AB08 AB58 AB73 AB118,AB08 AB58 AB73 AB118,AB08 AB58 AB73 AB118,4,4,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
10,CLINE_0010,ARKH 1A,AB08 AB60,,AB08 AB60,AB08 AB60,AB08 AB60,2,2,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
11,CLINE_0011,ARKH 1A,AB59 AB39,,AB59 AB39,AB59 AB39,AB59 AB39,2,2,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
12,CLINE_0012,ARKH 1A,AB67,,AB67,AB67,AB67,1,1,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
13,CLINE_0013,ARKH 1A,AB73 AB67 AB31 AB24,,AB73 AB67 AB31 AB24,AB73 AB67 AB31 AB24,AB73 AB67 AB31 AB24,4,4,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
14,CLINE_0014,ARKH 1B,AB06,,AB06,AB06,AB06,1,1,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
15,CLINE_0015,ARKH 1B,AB08,,AB08,AB08,AB08,1,1,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
16,CLINE_0016,ARKH 1B,AB56,,AB56,AB56,AB56,1,1,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
17,CLINE_0017,ARKH 1B,AB57 AB27,,AB57 AB27,AB57 AB27,AB57 AB27,2,2,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
18,CLINE_0018,ARKH 2,A SI DA TO I,,A SI DA TO I,A SI DA TO I,A SI DA TO I,5,5,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
19,CLINE_0019,ARKH 2,A SU PU WA,,A SU PU WA,A SU PU WA,A SU PU WA,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
20,CLINE_0020,ARKH 2,AB08 AB41 AB01 AB05 AB28,,AB08 AB41 AB01 AB05 AB28,AB08 AB41 AB01 AB05 AB28,AB08 AB41 AB01 AB05 AB28,5,5,1,http://sigla.phis.me/document/ARKH%202/index-word.html
21,CLINE_0021,ARKH 2,AB08 AB58 AB50 AB54,,AB08 AB58 AB50 AB54,AB08 AB58 AB50 AB54,AB08 AB58 AB50 AB54,4,4,1,http://sigla.phis.me/document/ARKH%202/index-word.html
22,CLINE_0022,ARKH 2,AB26 AB73,,AB26 AB73,AB26 AB73,AB26 AB73,2,2,1,http://sigla.phis.me/document/ARKH%202/index-word.html
23,CLINE_0023,ARKH 2,AB41 AB01 AB04,,AB41 AB01 AB04,AB41 AB01 AB04,AB41 AB01 AB04,3,3,1,http://sigla.phis.me/document/ARKH%202/index-word.html
24,CLINE_0024,ARKH 2,AB79 A301 AB09 AB45 AB21F AB118,,AB79 A301 AB09 AB45 AB21F AB118,AB79 A301 AB09 AB45 AB21F AB118,AB79 A301 AB09 AB45 AB21F AB118,6,6,1,http://sigla.phis.me/document/ARKH%202/index-word.html
25,CLINE_0025,ARKH 2,AB81 AB60 AB131B,,AB81 AB60 AB131B,AB81 AB60 AB131B,AB81 AB60 AB131B,3,3,1,http://sigla.phis.me/document/ARKH%202/index-word.html
26,CLINE_0026,ARKH 2,KU RA,,KU RA,KU RA,KU RA,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
27,CLINE_0027,ARKH 2,RU MI,,RU MI,RU MI,RU MI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
28,CLINE_0028,ARKH 2,SI DA TE,,SI DA TE,SI DA TE,SI DA TE,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
29,CLINE_0029,ARKH 2,VINB,,VINB,VINB,VINB,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
30,CLINE_0030,ARKH 2,ZU SE DE QIF,,ZU SE DE QIF,ZU SE DE QIF,ZU SE DE QIF,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
31,CLINE_0031,ARKH 3,GRA,,GRA,GRA,GRA,1,1,3,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
32,CLINE_0032,ARKH 3,GRA[,,GRA[,GRA[,GRA[,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
33,CLINE_0033,ARKH 3,JA PI,,JA PI,JA PI,JA PI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
34,CLINE_0034,ARKH 3,KA NE,,KA NE,KA NE,KA NE,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
35,CLINE_0035,ARKH 3,OLE,,OLE,OLE,OLE,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
36,CLINE_0036,ARKH 3,OLIV,,OLIV,OLIV,OLIV,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
37,CLINE_0037,ARKH 3,VINB,,VINB,VINB,VINB,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
38,CLINE_0038,ARKH 3,]KI NU,,]KI NU,]KI NU,]KI NU,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
39,CLINE_0039,ARKH 3,]PI PU3,,]PI PU3,]PI PU3,]PI PU3,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
40,CLINE_0040,ARKH 3,]VINA,,]VINA,]VINA,]VINA,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
41,CLINE_0041,ARKH 3A,AB67 AB55,,AB67 AB55,AB67 AB55,AB67 AB55,2,2,1,http://sigla.phis.me/document/ARKH%203a/index-word.html
42,CLINE_0042,ARKH 3A,AB77 AB24,,AB77 AB24,AB77 AB24,AB77 AB24,2,2,1,http://sigla.phis.me/document/ARKH%203a/index-word.html
43,CLINE_0043,ARKH 3A,AB81,,AB81,AB81,AB81,1,1,1,http://sigla.phis.me/document/ARKH%203a/index-word.html
44,CLINE_0044,ARKH 3B,AB39 A314,,AB39 A314,AB39 A314,AB39 A314,2,2,1,http://sigla.phis.me/document/ARKH%203b/index-word.html
45,CLINE_0045,ARKH 3B,[?] AB57 AB39,,[?] AB57 AB39,[?] AB57 AB39,[?] AB57 AB39,3,3,1,http://sigla.phis.me/document/ARKH%203b/index-word.html
46,CLINE_0046,ARKH 4,A KI RO,,A KI RO,A KI RO,A KI RO,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
47,CLINE_0047,ARKH 4,PI TI NE A,,PI TI NE A,PI TI NE A,PI TI NE A,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
48,CLINE_0048,ARKH 4,ZA SI ZU,,ZA SI ZU,ZA SI ZU,ZA SI ZU,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
49,CLINE_0049,ARKH 4,]DE MI,,]DE MI,]DE MI,]DE MI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
50,CLINE_0050,ARKH 4A,AB08 [?] [?] AB65,,AB08 [?] [?] AB65,AB08 [?] [?] AB65,AB08 [?] [?] AB65,4,4,1,http://sigla.phis.me/document/ARKH%204a/index-word.html
51,CLINE_0051,ARKH 4A,AB39 AB37 AB24 AB08 [?],,AB39 AB37 AB24 AB08 [?],AB39 AB37 AB24 AB08 [?],AB39 AB37 AB24 AB08 [?],5,5,1,http://sigla.phis.me/document/ARKH%204a/index-word.html
52,CLINE_0052,ARKH 4A,AB45 AB58 [?] AB47 AB04,,AB45 AB58 [?] AB47 AB04,AB45 AB58 [?] AB47 AB04,AB45 AB58 [?] AB47 AB04,5,5,1,http://sigla.phis.me/document/ARKH%204a/index-word.html
53,CLINE_0053,ARKH 4A,AB59,,AB59,AB59,AB59,1,1,1,http://sigla.phis.me/document/ARKH%204a/index-word.html
54,CLINE_0054,ARKH 4A,[?] AB30 AB59,,[?] AB30 AB59,[?] AB30 AB59,[?] AB30 AB59,3,3,1,http://sigla.phis.me/document/ARKH%204a/index-word.html
55,CLINE_0055,ARKH 4B,AB08 AB67 AB02,,AB08 AB67 AB02,AB08 AB67 AB02,AB08 AB67 AB02,3,3,1,http://sigla.phis.me/document/ARKH%204b/index-word.html
56,CLINE_0056,ARKH 4B,AB10,,AB10,AB10,AB10,1,1,1,http://sigla.phis.me/document/ARKH%204b/index-word.html
57,CLINE_0057,ARKH 4B,AB17? AB41 AB79,,AB17? AB41 AB79,AB17? AB41 AB79,AB17? AB41 AB79,3,3,1,http://sigla.phis.me/document/ARKH%204b/index-word.html
58,CLINE_0058,ARKH 4B,AB28 AB47,,AB28 AB47,AB28 AB47,AB28 AB47,2,2,1,http://sigla.phis.me/document/ARKH%204b/index-word.html
59,CLINE_0059,ARKH 4B,AB45 AB73,,AB45 AB73,AB45 AB73,AB45 AB73,2,2,1,http://sigla.phis.me/document/ARKH%204b/index-word.html
60,CLINE_0060,ARKH 4B,[?] AB27,,[?] AB27,[?] AB27,[?] AB27,2,2,1,http://sigla.phis.me/document/ARKH%204b/index-word.html
61,CLINE_0061,ARKH 5,A DA RO,,A DA RO,A DA RO,A DA RO,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
62,CLINE_0062,ARKH 5,A DU NI TA NA,,A DU NI TA NA,A DU NI TA NA,A DU NI TA NA,5,5,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
63,CLINE_0063,ARKH 5,AB08,,AB08,AB08,AB08,1,1,1,http://sigla.phis.me/document/ARKH%205/index-word.html
64,CLINE_0064,ARKH 5,AB08 AB01 AB02,,AB08 AB01 AB02,AB08 AB01 AB02,AB08 AB01 AB02,3,3,1,http://sigla.phis.me/document/ARKH%205/index-word.html
65,CLINE_0065,ARKH 5,AB08 AB51 AB30 AB59 AB06,,AB08 AB51 AB30 AB59 AB06,AB08 AB51 AB30 AB59 AB06,AB08 AB51 AB30 AB59 AB06,5,5,1,http://sigla.phis.me/document/ARKH%205/index-word.html
66,CLINE_0066,ARKH 5,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
67,CLINE_0067,ARKH 5,VINB,,VINB,VINB,VINB,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
68,CLINE_0068,ARKH 6,AB01 AB06 AB69,,AB01 AB06 AB69,AB01 AB06 AB69,AB01 AB06 AB69,3,3,1,http://sigla.phis.me/document/ARKH%206/index-word.html
69,CLINE_0069,ARKH 6,AB81,,AB81,AB81,AB81,1,1,1,http://sigla.phis.me/document/ARKH%206/index-word.html
70,CLINE_0070,ARKH 6,DA NA TU,,DA NA TU,DA NA TU,DA NA TU,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
71,CLINE_0071,ARKH 6,[?] AB53,,[?] AB53,[?] AB53,[?] AB53,2,2,1,http://sigla.phis.me/document/ARKH%206/index-word.html
72,CLINE_0072,GO 2,SE SI[,,SE SI[,SE SI[,SE SI[,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
73,CLINE_0073,GO 2,SI DA RO,,SI DA RO,SI DA RO,SI DA RO,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
74,CLINE_0074,GO WC 1,B BOSM,,B BOSM,B BOSM,B BOSM,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
75,CLINE_0075,GO WC 1A,AB08 AB31 AB58 AB80 AB28 AB09,,AB08 AB31 AB58 AB80 AB28 AB09,AB08 AB31 AB58 AB80 AB28 AB09,AB08 AB31 AB58 AB80 AB28 AB09,6,6,1,http://sigla.phis.me/document/GO%20Wc%201a/index-word.html
76,CLINE_0076,GO WC 3,NEW,,NEW,NEW,NEW,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
77,CLINE_0077,HS ZG 1,AB08 AB80,,AB08 AB80,AB08 AB80,AB08 AB80,2,2,1,http://sigla.phis.me/document/HS%20Zg%201/index-word.html
78,CLINE_0078,HT 1,A RA NA RE,,A RA NA RE,A RA NA RE,A RA NA RE,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
79,CLINE_0079,HT 1,AB07 AB07 AB17 AB44,,AB07 AB07 AB17 AB44,AB07 AB07 AB17 AB44,AB07 AB07 AB17 AB44,4,4,1,http://sigla.phis.me/document/HT%201/index-word.html
80,CLINE_0080,HT 1,AB08 AB60 AB06 AB27,,AB08 AB60 AB06 AB27,AB08 AB60 AB06 AB27,AB08 AB60 AB06 AB27,4,4,1,http://sigla.phis.me/document/HT%201/index-word.html
81,CLINE_0081,HT 1,AB67 AB02,,AB67 AB02,AB67 AB02,AB67 AB02,2,2,1,http://sigla.phis.me/document/HT%201/index-word.html
82,CLINE_0082,HT 1,AB78 AB76 AB10,,AB78 AB76 AB10,AB78 AB76 AB10,AB78 AB76 AB10,3,3,1,http://sigla.phis.me/document/HT%201/index-word.html
83,CLINE_0083,HT 1,AB79 AB58,,AB79 AB58,AB79 AB58,AB79 AB58,2,2,1,http://sigla.phis.me/document/HT%201/index-word.html
84,CLINE_0084,HT 1,AB81 AB56 AB55,,AB81 AB56 AB55,AB81 AB56 AB55,AB81 AB56 AB55,3,3,1,http://sigla.phis.me/document/HT%201/index-word.html
85,CLINE_0085,HT 1,DI DI ZA KE,,DI DI ZA KE,DI DI ZA KE,DI DI ZA KE,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
86,CLINE_0086,HT 1,KU PA3 NU,,KU PA3 NU,KU PA3 NU,KU PA3 NU,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
87,CLINE_0087,HT 1,QE RA2 U KI RO,,QE RA2 U KI RO,QE RA2 U KI RO,QE RA2 U KI RO,5,5,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
88,CLINE_0088,HT 1,ZU SU,,ZU SU,ZU SU,ZU SU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
89,CLINE_0089,HT 10,DA RE,,DA RE,DA RE,DA RE,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
90,CLINE_0090,HT 10,DA RI DA,,DA RI DA,DA RI DA,DA RI DA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
91,CLINE_0091,HT 10,KA SA RU,,KA SA RU,KA SA RU,KA SA RU,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
92,CLINE_0092,HT 10,KU NI SU,,KU NI SU,KU NI SU,KU NI SU,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
93,CLINE_0093,HT 10,ME ZA,,ME ZA,ME ZA,ME ZA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
94,CLINE_0094,HT 10,SA MA,,SA MA,SA MA,SA MA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
95,CLINE_0095,HT 10,TA NA TI,,TA NA TI,TA NA TI,TA NA TI,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
96,CLINE_0096,HT 10,TA RI NA,,TA RI NA,TA RI NA,TA RI NA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
97,CLINE_0097,HT 10,U TI,,U TI,U TI,U TI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
98,CLINE_0098,HT 10,U ZA,,U ZA,U ZA,U ZA,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
99,CLINE_0099,HT 100,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%20100/index-word.html
100,CLINE_0100,HT 100,AB81 AB02,,AB81 AB02,AB81 AB02,AB81 AB02,2,2,1,http://sigla.phis.me/document/HT%20100/index-word.html
101,CLINE_0101,HT 100,FIC,,FIC,FIC,FIC,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
102,CLINE_0102,HT 100,KU RO,,KU RO,KU RO,KU RO,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
103,CLINE_0103,HT 100,OLE MI,,OLE MI,OLE MI,OLE MI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
104,CLINE_0104,HT 100,OLE NE,,OLE NE,OLE NE,OLE NE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
105,CLINE_0105,HT 100,OLE U,,OLE U,OLE U,OLE U,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
106,CLINE_0106,HT 100,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
107,CLINE_0107,HT 100,TI A,,TI A,TI A,TI A,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
108,CLINE_0108,HT 100,VINA,,VINA,VINA,VINA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
109,CLINE_0109,HT 100,VIR *313A,,VIR *313A,VIR *313A,VIR *313A,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
110,CLINE_0110,HT 100,]VIR KA,,]VIR KA,]VIR KA,]VIR KA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
111,CLINE_0111,HT 101,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%20101/index-word.html
112,CLINE_0112,HT 101,AB56,,AB56,AB56,AB56,1,1,1,http://sigla.phis.me/document/HT%20101/index-word.html
113,CLINE_0113,HT 101,AB79 AB22F AB07,,AB79 AB22F AB07,AB79 AB22F AB07,AB79 AB22F AB07,3,3,1,http://sigla.phis.me/document/HT%20101/index-word.html
114,CLINE_0114,HT 101,AB81,,AB81,AB81,AB81,1,1,1,http://sigla.phis.me/document/HT%20101/index-word.html
115,CLINE_0115,HT 101,DI QE,,DI QE,DI QE,DI QE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
116,CLINE_0116,HT 101,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
117,CLINE_0117,HT 101,GRA QE,,GRA QE,GRA QE,GRA QE,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
118,CLINE_0118,HT 101,KU PA3,,KU PA3,KU PA3,KU PA3,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
119,CLINE_0119,HT 101,OLE,,OLE,OLE,OLE,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
120,CLINE_0120,HT 101,OLE KI,,OLE KI,OLE KI,OLE KI,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
121,CLINE_0121,HT 101,OLE MI,,OLE MI,OLE MI,OLE MI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
122,CLINE_0122,HT 101,OLE U,,OLE U,OLE U,OLE U,2,2,2,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
123,CLINE_0123,HT 101,OLIV,,OLIV,OLIV,OLIV,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
124,CLINE_0124,HT 101,OLIV TU,,OLIV TU,OLIV TU,OLIV TU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
125,CLINE_0125,HT 101,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
126,CLINE_0126,HT 101,ZU 22F DI,,ZU 22F DI,ZU 22F DI,ZU 22F DI,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
127,CLINE_0127,HT 102,AB07 AB53 AB06,,AB07 AB53 AB06,AB07 AB53 AB06,AB07 AB53 AB06,3,3,1,http://sigla.phis.me/document/HT%20102/index-word.html
128,CLINE_0128,HT 102,AB28 AB77,,AB28 AB77,AB28 AB77,AB28 AB77,2,2,1,http://sigla.phis.me/document/HT%20102/index-word.html
129,CLINE_0129,HT 102,AB31 AB76,,AB31 AB76,AB31 AB76,AB31 AB76,2,2,1,http://sigla.phis.me/document/HT%20102/index-word.html
130,CLINE_0130,HT 102,AB56 AB30,,AB56 AB30,AB56 AB30,AB56 AB30,2,2,1,http://sigla.phis.me/document/HT%20102/index-word.html
131,CLINE_0131,HT 102,AB77 AB03,,AB77 AB03,AB77 AB03,AB77 AB03,2,2,1,http://sigla.phis.me/document/HT%20102/index-word.html
132,CLINE_0132,HT 102,AB80 AB79,,AB80 AB79,AB80 AB79,AB80 AB79,2,2,1,http://sigla.phis.me/document/HT%20102/index-word.html
133,CLINE_0133,HT 102,AB81 AB02,,AB81 AB02,AB81 AB02,AB81 AB02,2,2,1,http://sigla.phis.me/document/HT%20102/index-word.html
134,CLINE_0134,HT 102,DI RI NA,,DI RI NA,DI RI NA,DI RI NA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
135,CLINE_0135,HT 102,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
136,CLINE_0136,HT 102,GRA PA,,GRA PA,GRA PA,GRA PA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
137,CLINE_0137,HT 102,I KA,,I KA,I KA,I KA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
138,CLINE_0138,HT 102,KA PA,,KA PA,KA PA,KA PA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
139,CLINE_0139,HT 102,KU RO,,KU RO,KU RO,KU RO,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
140,CLINE_0140,HT 102,MA ZU,,MA ZU,MA ZU,MA ZU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
141,CLINE_0141,HT 102,PA3 NI,,PA3 NI,PA3 NI,PA3 NI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
142,CLINE_0142,HT 102,SA RA2,,SA RA2,SA RA2,SA RA2,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
143,CLINE_0143,HT 102,]VIR GRA PA,,]VIR GRA PA,]VIR GRA PA,]VIR GRA PA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
144,CLINE_0144,HT 103,AB01 AB81 AB06,,AB01 AB81 AB06,AB01 AB81 AB06,AB01 AB81 AB06,3,3,1,http://sigla.phis.me/document/HT%20103/index-word.html
145,CLINE_0145,HT 103,AB01 AB81 AB09 AB24,,AB01 AB81 AB09 AB24,AB01 AB81 AB09 AB24,AB01 AB81 AB09 AB24,4,4,1,http://sigla.phis.me/document/HT%20103/index-word.html
146,CLINE_0146,HT 103,AB10 AB66,,AB10 AB66,AB10 AB66,AB10 AB66,2,2,1,http://sigla.phis.me/document/HT%20103/index-word.html
147,CLINE_0147,HT 103,AB56 AB01 AB81 AB09 AB24,,AB56 AB01 AB81 AB09 AB24,AB56 AB01 AB81 AB09 AB24,AB56 AB01 AB81 AB09 AB24,5,5,1,http://sigla.phis.me/document/HT%20103/index-word.html
148,CLINE_0148,HT 103,AB67 AB60,,AB67 AB60,AB67 AB60,AB67 AB60,2,2,1,http://sigla.phis.me/document/HT%20103/index-word.html
149,CLINE_0149,HT 103,DA KU NA,,DA KU NA,DA KU NA,DA KU NA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
