cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_188,SEQ_055,MA DI,5,2,"HT 118,HT 3,HT 85,HT 97,PH 31",5
CL_038,SEQ_056,MA RU,5,2,"HT 117,HT 12,HT 24,HT12,PH 3",5
CL_030,SEQ_057,QA [?] RE,5,3,"HT 23,HT 32,HT 33,HT 34,HT 60",5
CL_189,SEQ_058,AB03,4,1,"HT 122A,HT 45A,KN 32B,ZA 21A",4
CL_190,SEQ_059,AB06,4,1,"ARKH 1B,HT 64,KH 36,KH 97A",4
CL_083,SEQ_060,AB07,4,1,"HT 122A,HT 128A,HT 66,KN ZB 35",4
CL_191,SEQ_061,AB26,4,1,"HT 115B,HT 3,MA 10A,PH 31A",4
CL_192,SEQ_062,AB27,4,1,"HT 109,HT 66,KH 6,KH 97A",4
CL_193,SEQ_063,AB69,4,1,"HT 55A,HT 98A,KH 51,KH 57",4
CL_194,SEQ_064,AB80,4,1,"KH 61,KH 62,ZA 21A,ZA 29",4
CL_195,SEQ_065,CAPM,4,1,"HT 20,HT 64,KN WC 29,PH 31",4
CL_196,SEQ_066,OVIS,4,1,"HT 38,KH WC 2063,KH WC 2102,PH 31",4
CL_197,SEQ_067,OVISF,4,1,"HT 132,PH 31,ZA 22,ZA 9",4
CL_198,SEQ_068,PA3,4,1,"HT 103,HT 34,HT 9,HT8",4
CL_199,SEQ_069,VINB,4,1,"ARKH 2,ARKH 3,ARKH 5,ZA 10",4
CL_200,SEQ_070,]OLIV,4,1,"HT 131,HT 50,ZA 11,ZA 6",4
CL_201,SEQ_071,]VIR,4,1,"HT 105,KH 25,KH 26,PH 8",4
CL_084,SEQ_072,A306 AB69,4,2,"HT 119,HT 122A,HT 9A,HT 9B",4
CL_004,SEQ_073,AB31 AB02,4,2,"HT 17,HT 19,HT 42 59,HT 9A",4
CL_004,SEQ_074,AB31 AB80,4,2,"HT 10A,HT 52A,HT 6B,ZA 10B",4
CL_202,SEQ_075,AB46 AB07,4,2,"HT 122B,HT 140,HT 36,HT 8A",4
CL_019,SEQ_076,DA SI,4,2,"HT 122,HT 13,HT 85,HT 99",4
CL_203,SEQ_077,JE DI,4,2,"HT 122,HT 140,HT 36,HT 8",4
CL_085,SEQ_078,OLE DI,4,2,"HT 12,HT 129,HT 28,HT 90",4
CL_014,SEQ_079,SA MA,4,2,"HT 10,HT 52,HT 6,ZA 10",4
