canonical_line_id,artifact_id,quantity,sequence_surface,canonical_sequence,sign_count,group_count,origin_count,source_kinds,provenance_tags,notes
CLINE_1191,HT 75,,KA RU[,KA RU[,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1192,HT 78,,AB23 A312,AB23 A312,2,2,1,external_csv,http://sigla.phis.me/document/HT%2078/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1193,HT 79 83,,AB01 AB56,AB01 AB56,2,2,1,external_csv,http://sigla.phis.me/document/HT%2079%2B83/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1194,HT 79 83,,AB28?,AB28?,1,1,1,external_csv,http://sigla.phis.me/document/HT%2079%2B83/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1195,HT 79 83,,AB69 AB03 AB53,AB69 AB03 AB53,3,3,1,external_csv,http://sigla.phis.me/document/HT%2079%2B83/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1196,HT 79 83,,AB77,AB77,1,1,1,external_csv,http://sigla.phis.me/document/HT%2079%2B83/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1197,HT 79 83,,AB79,AB79,1,1,1,external_csv,http://sigla.phis.me/document/HT%2079%2B83/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1198,HT 79 83,,AB81 AB30,AB81 AB30,2,2,1,external_csv,http://sigla.phis.me/document/HT%2079%2B83/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1199,HT 79 83,,DA PA3[,DA PA3[,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1200,HT 79 83,,]KU NI[,]KU NI[,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1201,HT 79 83,,]TU PA RI,]TU PA RI,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1202,HT 7A,,AB01 AB27,AB01 AB27,2,2,1,external_csv,http://sigla.phis.me/document/HT%207a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1203,HT 7A,,AB04 AB69,AB04 AB69,2,2,1,external_csv,http://sigla.phis.me/document/HT%207a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1204,HT 7A,,AB28 AB26 AB57,AB28 AB26 AB57,3,3,1,external_csv,http://sigla.phis.me/document/HT%207a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1205,HT 7A,,AB51 AB57,AB51 AB57,2,2,1,external_csv,http://sigla.phis.me/document/HT%207a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1206,HT 7A,,AB59 AB06 AB37,AB59 AB06 AB37,3,3,1,external_csv,http://sigla.phis.me/document/HT%207a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1207,HT 7A,,AB78 AB37,AB78 AB37,2,2,1,external_csv,http://sigla.phis.me/document/HT%207a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1208,HT 7B,,AB01 AB26 A329,AB01 AB26 A329,3,3,1,external_csv,http://sigla.phis.me/document/HT%207b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1209,HT 7B,,AB21F AB69 AB24,AB21F AB69 AB24,3,3,1,external_csv,http://sigla.phis.me/document/HT%207b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1210,HT 8,,JE DI,JE DI,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
