prefix,length,count,artifact_count,artifacts
AB08 AB09,2,6,6,"HT 115A,HT 132,HT 81,HT 93A,KH 13,PH 2"
AB08 AB59,2,6,6,"KH 11,KH 39,SY ZA 4,ZA 10A,ZA 8,ZA 9"
AB31 AB26,2,6,6,"HT 123A,HT 86A,HT 86B,HT 94B,HT 95A,HT 95B"
AB31 AB80,2,6,6,"HT 10A,HT 39,HT 52A,HT 6B,HT 88,ZA 10B"
AB59 AB06,2,6,6,"HT 10B,HT 49A,HT 7A,HT 98A,PS ZA 2,ZA 10A"
AB67 AB27,2,6,6,"HT 108,HT 120,HT 2,HT 85B,HT 8A,ZA 1A"
AB77 AB03,2,6,5,"HT 102,HT 140,HT 6A,HT 8B,HT 94A"
KA PA,2,6,5,"HT 102,HT 140,HT 6,HT 8,HT 94"
KU PA,2,6,6,"HT 110,HT 116,KH 29,KH 5,PE 1,ZA 11"
KU RA2,2,6,2,"HT10,HT12"
MA DI,2,6,5,"HT 118,HT 3,HT 85,HT 97,PH 31"
OLE TA,2,6,6,"HT 30,HT 35,KH 19,KH 55,KH 61,KH 85"
QA QA,2,6,6,"HT 111,HT 118,HT 122,HT 93,PE 2,PH 31"
TA NA,2,6,6,"HT 10,HT 49,HT 7,HT 98,PS ZA 2,ZA 10"
VIN TE,2,6,1,HT9
*164D,1,6,6,"KH WC 2036,KH WC 2037,KH WC 2038,KH WC 2039,KH WC 2045,KH WC 2111"
*401VAS,1,6,5,"KH 12,KH 31,KH 85,KH 91,MI 2"
AB09,1,6,6,"HT 115A,KH 28,KH 7A,KH 95,KH 97B,PH 2"
AB24,1,6,6,"HT 127B,HT 135A,HT 52B,HT 55A,KH 53,PH 31B"
AB55,1,6,6,"HT 115B,HT 154JA,HT 40,HT 62 73,HT 84,KN WB 33B"
AB61,1,6,6,"HT 144,HT 6A,HT 93A,KH WC 2035,ZA 27,ZA 5A"
AB86,1,6,6,"HT 11B,HT 140,KH WA 1013,KH WA 1014,KH WA 1015,KH WA 1016"
RO,1,6,6,"HT 26,HT 98,KH 18,PH 24,PS ZA 2,ZA 9"
]VIR,1,6,6,"HT 100,HT 102,HT 105,KH 25,KH 26,PH 8"
AB81 AB02 AB22,3,5,4,"HT13,HT31,HT95,ZA10"
A SE,2,5,5,"HT 115,HT 132,HT 81,HT 93,PH 2"
A306 AB69,2,5,5,"HT 115B,HT 119,HT 122A,HT 9A,HT 9B"
AB01 AB77,2,5,5,"HT WA 1001,HT WA 1002,HT WA 1003,HT WA 1004,HT WA 1005"
AB03 AB09,2,5,5,"HT 18,HT 27B,HT 93A,HT WC 3001,HT WC 3002"
AB03 AB57,2,5,5,"HT 29,HT 41A,HT 88,HT 8B,ZA 10B"
AB08 AB03,2,5,5,"ARKH 1A,HT 96A,HT 96B,KN 32A,KN ZB 40"
AB08 AB53,2,5,5,"HT 118,HT 25A,PH 28A,PH 6,ZA 8"
AB08 AB77,2,5,5,"HT 2,HT 86A,HT 86B,KN 32A,KN ZC 7"
AB31 AB02,2,5,5,"HT 17,HT 19,HT 42 59,HT 62 73,HT 9A"
AB41 AB77,2,5,5,"HT WA 1014,HT WA 1015,HT WA 1016,HT WA 1017,HT WA 1018"
AB56 AB30,2,5,5,"HT 102,HT 6B,HT 85A,HT 93A,SY ZA 4"
AB77 AB81,2,5,5,"HT 16,HT 62 73,HT WC 3015A,HT WC 3016A,ZA 10B"
AB80 AB07,2,5,5,"HT 118,HT 3,HT 69,HT 85B,PH 31A"
PA3 NI,2,5,4,"HT 102,HT 6,HT 85,HT 93"
SA MA,2,5,5,"HT 10,HT 52,HT 6,HT 88,ZA 10"
SA RO,2,5,5,"HT 17,HT 19,HT 42 59,HT 62 73,HT 9"
TE GRA,2,5,5,"HT 133,HT 14,HT 21,HT 40,HT 44"
VIR KA,2,5,5,"HT 28,HT 88,KH WC 2029 2030,KH WC 2031,KH WC 2032"
A309B,1,5,1,TY 2
AB100,1,5,5,"HT 11A,HT 128B,HT 62 73,HT 93A,KH WC 2100"
AB38,1,5,5,"KH 7A,ZA 11A,ZA 11B,ZA 1B,ZA 4A"
AB70,1,5,5,"HT 117A,HT 119,HT 23A,HT 62 73,TY 3A"
BOSM,1,5,5,"HT 114,HT 121,HT 30,KH 87,KH WC 2069"
CAPM,1,5,4,"HT 20,HT 64,KN WC 29,PH 31"
O,1,5,4,"HT 6,PK 1,ZA 27,ZA 5"
OVIS,1,5,5,"HT 38,KH WC 2063,KH WC 2102,PH 31,ZA 9"
QIF,1,5,5,"HT 117,HT 23,HT 7,HT 84,HT 87"
SU,1,5,5,"HT 32,HT 42 59,HT 63,HT 8,KN 28"
VINB,1,5,5,"ARKH 2,ARKH 3,ARKH 5,KH 5,ZA 10"
WA,1,5,5,"HT 128,HT 6,HT 85,HT 9,ZA 6"
]MI,1,5,5,"ARKH 1,HT 128,HT 27,KH 79 89,ZA 23"
AB01 AB41 AB118,3,4,4,"HT 122A,HT 13,HT 85A,HT 99B"
AB01 AB53 AB01,3,4,4,"HT 10A,HT 122A,HT 85A,HT 93A"
AB03 AB57 AB27,3,4,4,"HT 29,HT 88,HT 8B,ZA 10B"
AB07 AB06 AB10,3,4,4,"HT 16,HT 25A,HT 9A,HT 9B"
AB16 A310 AB28,3,4,4,"HT 122A,HT 85B,HT 8A,HT 8B"
AB51 AB27 AB17,3,4,4,"KH 20,ZA 10A,ZA 10B,ZA 20"
AB59 AB06 AB37,3,4,4,"HT 10B,HT 49A,HT 7A,HT 98A"
AB67 AB27 AB59,3,4,4,"HT 108,HT 120,HT 2,HT 8A"
AB81 AB30 AB58,3,4,4,"HT 10A,HT 86A,HT 86B,HT 95B"
DA RI DA,3,4,4,"HT 10,HT 122,HT 85,HT 93"
PA JA RE,3,4,4,"HT 29,HT 8,HT 88,ZA 10"
QA QA RU,3,4,4,"HT 111,HT 118,HT 122,HT 93"
TA NA TI,3,4,4,"HT 10,HT 49,HT 7,HT 98"
A DA,2,4,4,"ARKH 5,KH 5,KH 92,TY 3"
A MI,2,4,3,"PH 14,PH 31,ZA 10"
A RA,2,4,4,"HT 1,HT 109,HT 87,ZA 7"
A RU,2,4,4,"HT 11,HT 28,HT 49,HT 9"
A TA,2,4,4,"KH 39,ZA 10,ZA 8,ZA 9"
AB01 AB41,2,4,4,"HT 122A,HT 13,HT 85A,HT 99B"
AB01 AB53,2,4,4,"HT 10A,HT 122A,HT 85A,HT 93A"
AB03 AB60,2,4,4,"HT 115A,HT 115B,HT 128A,PH 3A"
AB04 AB69,2,4,4,"HT 13,HT 7A,HT 85B,ZA10"
AB07 AB45,2,4,4,"HT 86A,HT 86B,HT 95A,HT 95B"
AB08 AB01,2,4,4,"ARKH 5,KH 5,KH 92,TY 3A"
AB08 AB26,2,4,4,"HT 11A,HT 28A,HT 49A,HT 9A"
AB08 AB73,2,4,4,"PH 14B,PH 31B,ZA 10A,ZA 10B"
AB08 AB80,2,4,4,"HS ZG 1,KH 14,MA 1B,ZA 7B"
AB16 A310,2,4,4,"HT 122A,HT 85B,HT 8A,HT 8B"
AB21F AB69,2,4,4,"HT 117B,HT 7B,HT 87,HT 94B"
AB26 AB80,2,4,4,"HT 29,HT 64,HT 99B,ZA 20"
AB27 AB17,2,4,4,"HT 13,HT 88,KH 86,ZA10"
AB28 AB81,2,4,4,"HT 35,HT 90,KH 18,ZA 6B"
AB39 AB59,2,4,4,"HT 21,HT 6A,HT 87,HT 96A"
AB46 AB07,2,4,4,"HT 122B,HT 140,HT 36,HT 8A"
AB51 AB27,2,4,4,"KH 20,ZA 10A,ZA 10B,ZA 20"
AB59 AB28,2,4,4,"HT 39,HT 9A,HT 9B,ZA 8"
AB67 AB01,2,4,4,"HT 117A,HT 27A,HT 40,HT 47A"
AB73 AB55,2,4,4,"HT 47A,HT 86A,HT 95A,HT 95B"
AB80 AB77,2,4,4,"HT 117A,HT 87,ZA 5B,ZA 8"
DA I,2,4,4,"HT 12,HT12,ZA 10,ZA 8"
DA KU,2,4,2,"HT 103,HT 104"
DA RI,2,4,4,"HT 10,HT 122,HT 85,HT 93"
DA SI,2,4,4,"HT 122,HT 13,HT 85,HT 99"
DI NA,2,4,4,"HT 108,HT 25,HT 9,KH 59"
I GRA,2,4,4,"HT 115,HT 120,HT 43,HT 93"
I KU,2,4,4,"HT 35,HT 90,KH 18,ZA 6"
JE DI,2,4,4,"HT 122,HT 140,HT 36,HT 8"
KI DA,2,4,4,"HT 117,HT 27,HT 40,HT 47"
KU NI,2,4,4,"HT 10,HT 86,HT 95,KH 92"
KU RA,2,4,4,"ARKH 2,HT 117,HT8,ZA 20"
MA KA,2,4,4,"HT 117,PK 1,ZA 5,ZA 8"
MI NU,2,4,4,"HT 106,HT 47,HT 86,HT 95"
OLE DI,2,4,4,"HT 12,HT 129,HT 28,HT 90"
PA DA,2,4,4,"HT 104,HT 127,KH 79 89,TY 2"
PA JA,2,4,4,"HT 29,HT 8,HT 88,ZA 10"
PI TA,2,4,4,"HT 21,HT 6,HT 87,HT 96"
SA RU,2,4,4,"HT 123 124,HT 86,HT 94,HT 95"
SI DA,2,4,4,"ARKH 2,GO 2,HT 122,HT 17"
[?] AB57,2,4,4,"ARKH 3B,KH 90,KN 32B,PH 16B"
]KU RO,2,4,4,"HT 39,HT 46,HT 67,HT 74"
]OLE KI,2,4,4,"HT 125,HT 129,HT 44,HT 56"
*309A,1,4,1,TY 2
AB13,1,4,4,"HT 10A,HT 85B,ZA 14,ZA 21B"
AB188,1,4,4,"HT 123B,HT 26B,HT WA 1021,HT WC 3020A"
AB23,1,4,4,"HT 23B,HT 3,HT 46A,HT 78"
AB28B,1,4,4,"HT 62 73,ZA 15A,ZA 4A,ZA 5B"
AB30,1,4,4,"HT 23B,KH 65,KN WC 26B,KN ZC 6"
CF,1,4,1,PH 31
JE,1,4,4,"HT 122,HT 140,HT 36,HT 8"
ME,1,4,4,"HT 10,HT 85,ZA 14,ZA 15"
NA,1,4,4,"HT 115,HT 117,HT 135,HT 97"
OVISF,1,4,4,"HT 132,PH 31,ZA 22,ZA 9"
OVISM,1,4,2,"PH 31,ZA 22"
SE,1,4,4,"GO 2,HT 115,KH 97,PH 2"
SUS,1,4,3,"HT 118,HT 38,PH 31"
]A,1,4,4,"ARKH 1,HT 122,KH 13,KH 99"
]DI,1,4,4,"HT 29,PH 1,PH 7,ZA 27"
]I,1,4,4,"HT 27,KH 9,ZA 11,ZA 6"
]OLIV,1,4,4,"HT 131,HT 50,ZA 11,ZA 6"
]RA,1,4,4,"HT 122,HT 47,KH 60,ZA 19"
]RU,1,4,4,"HT 115,HT 141,HT 25,KN 2"
]SA,1,4,4,"HT 125,HT 27,HT 39,HT 62 73"
]TA,1,4,4,"ARKH 1,HT 4,HT 66,KH 52"
A324 AB07 AB60,3,3,3,"HT 122A,HT 9A,HT 9B"
AB01 AB78 AB60,3,3,3,"HT 120,HT 57A,HT 6A"
AB03 AB09 AB57,3,3,3,"HT 93A,HT WC 3001,HT WC 3002"
AB07 AB45 AB26,3,3,3,"HT 86A,HT 95A,HT 95B"
AB08 AB77 AB26,3,3,3,"HT 2,HT 86A,HT 86B"
AB16 AB16 AB26,3,3,3,"HT 118,HT 122B,HT 93A"
AB21F AB69 AB24,3,3,3,"HT 117B,HT 7B,HT 87"
AB26 AB80 AB59,3,3,3,"HT 29,HT 99B,ZA 20"
AB28B AB55 AB80,3,3,3,"ZA 15A,ZA 4A,ZA 5B"
AB54 AB67 AB22,3,3,3,"HT13,HT31,HT95"
AB59 AB28 AB123,3,3,3,"HT 39,HT 9A,HT 9B"
AB73 AB55 AB04,3,3,3,"HT 86A,HT 95A,HT 95B"
AB77 AB81 AB03,3,3,3,"HT 16,HT WC 3015A,HT WC 3016A"
DA KU SE,3,3,2,"HT 103,HT 104"
I GRA PA,3,3,3,"HT 120,HT 43,HT 93"
IB NU MA,3,3,3,"ZA 15,ZA 4,ZA 5"
KI RE TA,3,3,3,"HT 108,HT 120,HT 8"
KU NI SU,3,3,3,"HT 10,HT 86,HT 95"
MA KA I,3,3,3,"PK 1,ZA 5,ZA 8"
MI NU TE,3,3,3,"HT 106,HT 86,HT 95"
PA TA NE,3,3,3,"HT 122,HT 94,PH 31"
QIF TU NE,3,3,3,"HT 117,HT 7,HT 87"
RI RU MA,3,3,2,"HT 118,PH 31"
RU MA TA,3,3,3,"HT 29,HT 99,ZA 20"
SI PI KI,3,3,3,"ZA 15,ZA 4,ZA 5"
*401VAS RA,2,3,3,"KH 31,KH 91,MI 2"
*401VAS RU,2,3,3,"KH 12,KH 85,KH 91"
A KA,2,3,3,"HT 2,HT 86,KN 32"
A KU,2,3,3,"PA 1,TY 3,ZA 10"
A324 AB07,2,3,3,"HT 122A,HT 9A,HT 9B"
AB01 AB13,2,3,3,"HT 120,HT 86A,HT 95A"
AB01 AB28,2,3,3,"HT 12,ZA 10A,ZA 8"
AB01 AB78,2,3,3,"HT 120,HT 57A,HT 6A"
AB01 AB81,2,3,2,"HT 103,HT 104"
AB03 AB28,2,3,3,"HT 120,HT 62 73,HT 97A"
AB03 AB45,2,3,3,"HT 122A,HT 9A,HT 9B"
AB07 AB07,2,3,3,"HT 1,ZA 11A,ZA 26A"
AB07 AB67,2,3,3,"HT 117B,HT 87,ZA 27"
AB08 AB27,2,3,3,"HT 29,KN ZF 13,ZA 7A"
AB08 AB31,2,3,3,"GO WC 1A,HT 89,MA WC 5A"
AB08 AB58,2,3,3,"ARKH 1A,ARKH 2,HT 11A"
AB08 AB81,2,3,3,"PA 1,TY 3A,ZA 10A"
AB08 [?],2,3,3,"ARKH 4A,KH 73,MA 4B"
AB10 AB59,2,3,3,"HT 116A,KH 16,KH 7B"
AB16 AB118,2,3,3,"HT 70,HT 96B,KH 10"
AB16 AB16,2,3,3,"HT 118,HT 122B,HT 93A"
AB16 AB37,2,3,3,"HT 12,KH 7A,ZA 14"
AB21F AB118,2,3,3,"KH 88,ZA 14,ZA 5A"
AB28 AB01,2,3,3,"PH 6,ZA 21B,ZA 24A"
AB28 AB37,2,3,3,"HT 25B,HT 96A,ZA 15A"
AB28 AB51,2,3,3,"HT 104,HT 13,MA 1A"
AB28B AB55,2,3,3,"ZA 15A,ZA 4A,ZA 5B"
AB41 AB01,2,3,3,"ARKH 2,HT 122A,HT 17"
AB41 AB69,2,3,3,"HT 3,HT WA 1019,ZA 20"
AB54 AB67,2,3,3,"HT13,HT31,HT95"
AB57 AB31,2,3,3,"KN ZC 7,PS ZA 2,ZA 15A"
AB57 AB41,2,3,3,"KE ZB 4,KN ZB 4,PH 7A"
AB67 AB53,2,3,3,"HT 114A,HT 121,TY 3B"
AB73 AB01,2,3,3,"HT 27B,HT 41A,ZA 15A"
AB77 AB06,2,3,3,"HT 123B,HT 23A,KH WC 2005"
AB78 AB76,2,3,3,"HT 1,HT 3,HT 95B"
AB81 AB27,2,3,3,"HT 117B,HT 39,HT 53B"
AB81 AB60,2,3,3,"ARKH 2,HT 117A,ZA 20"
AB81 AB79,2,3,3,"HT 13,HT 64,HT 85A"
DA ME,2,3,3,"HT 120,HT 86,HT 95"
DA NA,2,3,3,"ARKH 6,HT 126,HT7"
DA QE,2,3,3,"HT 120,HT 57,HT 6"
FIC TE,2,3,3,"HT 51,HT 67,HT 70"
GRA QE,2,3,3,"HT 101,HT 18,HT 28"
IB NU,2,3,3,"ZA 15,ZA 4,ZA 5"
KA KU,2,3,3,"HT 16,HT 62 73,ZA 10"
KI RA,2,3,3,"HT 103,HT7,ZA 8"
KI RI,2,3,3,"HT 114,HT 121,TY 3"
OLE E,2,3,3,"HT 2,HT 21,HT 50"
OLE NE,2,3,3,"HT 100,HT 23,HT 32"
OLE TU,2,3,3,"HT 23,HT 28,TY 3"
PA I,2,3,3,"HT 120,HT 62 73,HT 97"
PA RA,2,3,3,"HT 115,HT 128,PH 3"
QA I,2,3,3,"HT 122,HT 8,HT 85"
QA TI,2,3,3,"HT 12,KH 7,ZA 14"
QE RA2,2,3,3,"HT 1,HT 3,HT 95"
QE TU,2,3,3,"HT 12,HT12,HT7"
QIF TU,2,3,3,"HT 117,HT 7,HT 87"
RE ZA,2,3,3,"HT 13,HT 88,KH 86"
RI RU,2,3,2,"HT 118,PH 31"
RU MA,2,3,3,"HT 29,HT 99,ZA 20"
SA MI,2,3,3,"HT 29,ZA 15,ZA 5"
SI PI,2,3,3,"ZA 15,ZA 4,ZA 5"
SI SE,2,3,3,"HT 116,HT 42 59,HT 99"
TA I,2,3,3,"HT 39,HT 9,ZA 8"
TE RI,2,3,2,"HT 91,PH 31"
TE VINA,2,3,3,"HT 19,HT 62 73,HT 9"
U SI,2,3,2,"HT 140,HT 15"
[?] AB08,2,3,3,"HT 141,KH 33,PH 31A"
[?] AB27,2,3,3,"ARKH 4B,HT 51A,MA 2B"
*164A,1,3,3,"KH WC 2042,KH WC 2043,KH WC 2044 2096"
*402VAS,1,3,1,HT 31
*404VAS,1,3,1,MA 10
*409VAS,1,3,3,"KH WC 2010,KH WC 2020,KH WC 2021"
A309A?,1,3,1,TY 2
A312,1,3,3,"HT 10B,HT 26A,ZA 6B"
A324,1,3,3,"HT 122A,HT 9A,HT 9B"
AB11,1,3,3,"HT 122B,HT 131B,KN 22B"
AB65,1,3,3,"HT 68,HT 80,KN ZC 6"
DE,1,3,3,"HT 11,HT 93,HT 94"
FIC[,1,3,3,"HT 44,KH 17,KH 91"
IB,1,3,3,"ZA 15,ZA 4,ZA 5"
KO,1,3,3,"HT 117,HT 119,HT 23"
NU,1,3,3,"HT 115,HT 40,ZA 9"
PO,1,3,3,"HT 122,HT 131,KN 22"
TA2,1,3,2,"HT 11,PK 1"
TELA,1,3,3,"HT 38,KH WC 2124,ZA ZB 34"
VIR[,1,3,3,"HT 68,HT 84,KH WC 2004"
]DU,1,3,3,"HT 127,MA 2,ZA 20"
]JA,1,3,2,"MA 2,PH 7"
]KI,1,3,3,"ARKH 3,HT 2,KH 6"
]MA,1,3,3,"HT 69,PH 15,PH 30"
]PA,1,3,3,"KH 79 89,KH 99,ZA 21"
]TU,1,3,3,"HT 112,HT 47,HT 79 83"
]U,1,3,3,"HT 58,KH 16,PH 7"
A DU ZA,3,2,2,"KH 11,PK 1"
A KA RU,3,2,2,"HT 2,HT 86"
A MI DA,3,2,2,"PH 31,ZA 10"
A RI NI,3,2,2,"HT 25,ZA 8"
A SI JA,3,2,1,HT 28
A TA NA,3,2,2,"ZA 10,ZA 9"
AB01 AB28 AB39,3,2,2,"ZA 10A,ZA 8"
AB01 AB81 AB09,3,2,2,"HT 103,HT 104"
AB03 AB28 AB05,3,2,2,"HT 120,HT 97A"
AB03 AB59 AB01,3,2,2,"HT ZB 160,PH 31A"
AB03 AB59 AB24,3,2,2,"HT 94B,HT WA 1019"
AB03 AB60 AB24,3,2,2,"HT 115A,HT 115B"
AB06 AB21F AB24,3,2,2,"HT 115A,HT 135A"
AB07 AB53 AB06,3,2,2,"HT 102,HT 93A"
AB07 AB67 AB09,3,2,2,"HT 117B,HT 87"
AB08 AB03 AB60,3,2,2,"HT 96A,HT 96B"
AB08 AB03 [?],3,2,2,"ARKH 1A,KN 32A"
AB08 AB41 AB57,3,2,2,"HT 28A,HT 28B"
AB08 AB51 [?],3,2,2,"KH 11,TY 3A"
AB08 AB53 AB30,3,2,2,"HT 25A,ZA 8"
AB08 AB59 AB06,3,2,2,"ZA 10A,ZA 9"
AB08 AB60 AB65,3,2,2,"HT 109,HT 122B"
AB08 AB73 AB01,3,2,2,"PH 31B,ZA 10A"
AB10 A325 AB17,3,2,2,"HT 10A,HT 85A"
AB10 AB34 AB41,3,2,2,"HT 140,HT 15"
AB10 AB59 AB28,3,2,2,"KH 16,KH 7B"
AB10 AB73 AB06,3,2,2,"HT 117A,HT 28B"
AB11 AB05 AB81,3,2,2,"HT 122B,HT 131B"
AB16 AB55 AB80,3,2,2,"HT 116A,KH 88"
AB28 AB16 AB118,3,2,2,"HT 131A,HT 44A"
AB41 AB01 AB27,3,2,2,"HT 122A,HT 17"
AB41 AB39 AB67,3,2,2,"ZA 4A,ZA 5B"
AB53 AB26 AB80,3,2,2,"HT 118,PH 31B"
AB54 AB07 AB30,3,2,2,"HT WC 3007,HT WC 3008A"
AB54 AB51 AB30,3,2,2,"HT 6B,HT 85B"
AB56 AB30 AB06,3,2,2,"HT 6B,HT 93A"
AB60 AB164A AB37,3,2,2,"HT 17,HT 19"
AB67 AB01 AB02,3,2,2,"HT 117A,HT 47A"
AB67 AB53 AB66,3,2,2,"HT 114A,HT 121"
AB78 AB41 AB79,3,2,2,"ZA 15A,ZA 4A"
AB78 AB45 AB73,3,2,2,"MA 1A,MA 1B"
AB78 AB76 AB10,3,2,2,"HT 1,HT 95B"
AB79 AB07 AB60,3,2,2,"HT WC 3011,HT WC 3012A"
AB80 AB77 AB28,3,2,2,"ZA 5B,ZA 8"
AB80 AB77 AB53,3,2,2,"HT 117A,HT 87"
AB81 AB27 AB65,3,2,2,"HT 117B,HT 39"
AB81 AB56 AB06,3,2,2,"HT 119,HT 47A"
AB81 AB73 AB06,3,2,2,"HT 54A,HT WC 3014A"
AB81 AB79 AB30,3,2,2,"HT 13,HT 85A"
B PA D,3,2,2,"HT WC 3016,HT WE WC 3020"
DA I PI,3,2,2,"ZA 10,ZA 8"
DA NA TU,3,2,2,"ARKH 6,HT7"
DA QE RA,3,2,2,"HT 120,HT 6"
DI DE RU,3,2,2,"HT 86,HT 95"
DI KI SE,3,2,2,"HT 117,HT 87"
DI NA U,3,2,2,"HT 25,HT 9"
DI RI NA,3,2,2,"HT 102,HT 93"
DU RE ZA,3,2,2,"KH 20,ZA 10"
GRA K L2,3,2,2,"HT 120,HT 86"
JA MI DA,3,2,2,"HT 122,PH 31"
KI DA RO,3,2,2,"HT 117,HT 47"
KI RE TA2,3,2,2,"HT 129,HT 85"
KI RI TA2,3,2,2,"HT 114,HT 121"
KU PA3 NA,3,2,2,"HT 119,HT 47"
KU ZU NI,3,2,2,"HT 13,HT 85"
MI JA I,3,2,2,"HT 37,KH 81"
MI JA KA,3,2,2,"HT 33,HT 34"
PA I TO,3,2,2,"HT 120,HT 97"
PA TA DA,3,2,1,PH 31
PA TA DA[,3,2,1,PH 31
PA3 NI NA,3,2,2,"HT 6,HT 93"
PO TO KU,3,2,2,"HT 122,HT 131"
QA NU MA,3,2,2,"HT 116,KH 88"
QE RA2 U,3,2,2,"HT 1,HT 95"
QE SI ZU,3,2,2,"ZA 15,ZA 4"
QE TU NE,3,2,2,"HT 12,HT12"
RA *164A TI,3,2,2,"HT 17,HT 19"
SA MI DA,3,2,2,"ZA 15,ZA 5"
SI DA RE,3,2,2,"HT 122,HT 17"
TU JU MA,3,2,2,"HT 117,PH 31"
WA DU NI,3,2,2,"HT 6,HT 85"
[?] AB03 AB01,3,2,2,"KH 79,KH 79 89"
*309A RI,2,2,1,TY 2
A KI,2,2,2,"ARKH 4,KH 10"
A MA,2,2,2,"KH 14,MA 1"
A PA,2,2,2,"ARKH 1,HT 96"
A RE,2,2,2,"HT 29,ZA 7"
A SU,2,2,2,"ARKH 2,HT 11"
A309A? [?],2,2,1,TY 2
A309B AB53?,2,2,1,TY 2
A309B [?],2,2,1,TY 2
A309C AB53?,2,2,1,TY 2
A333 AB07,2,2,2,"HT WC 3009A,HT WC 3010"
AB01 AB06,2,2,2,"ARKH 6,HT 126A"
AB01 AB26,2,2,2,"HT 7B,HT 98B"
AB01 AB59,2,2,2,"HT 6A,HT 88"
AB03 AB01,2,2,2,"HT 104,TY 2"
AB03 AB02,2,2,2,"HT 20,HT 26B"
AB03 AB53,2,2,2,"HT 122A,KH 99"
AB04 A301,2,2,2,"HT 8A,HT 98A"
AB04 AB53,2,2,2,"HT 91,PH 31B"
AB04 AB67,2,2,2,"HT 122A,HT 13"
AB06 AB21F,2,2,2,"HT 115A,HT 135A"
AB07 AB53,2,2,2,"HT 102,HT 93A"
AB08 AB06,2,2,2,"HT 126A,HT ZB 159"
AB08 AB07,2,2,2,"KH 83,KN ZC 6"
AB08 AB37,2,2,2,"ZA 4A,ZA WC 2"
AB08 AB67,2,2,2,"ARKH 4B,KH 10"
AB10 A325,2,2,2,"HT 10A,HT 85A"
AB10 AB06,2,2,2,"KN ZB 40,MA 2C"
AB10 AB07,2,2,2,"HT 117A,PH 7A"
AB10 AB34,2,2,2,"HT 140,HT 15"
AB10 AB49,2,2,2,"HT 126A,ZA 10B"
AB10 AB73,2,2,2,"HT 117A,HT 28B"
AB100 AB28,2,2,2,"HT 11A,HT 93A"
AB11 AB05,2,2,2,"HT 122B,HT 131B"
AB13 AB17,2,2,2,"HT 10A,HT 85B"
AB16 AB55,2,2,2,"HT 116A,KH 88"
AB188 AB51,2,2,2,"HT WA 1021,HT WC 3020A"
AB23 AB26,2,2,2,"HT 3,HT 46A"
AB26 AB57,2,2,2,"HT WC 3008B,KN WC 26A"
AB28 AB16,2,2,2,"HT 131A,HT 44A"
AB28 AB67,2,2,2,"HT 25A,HT31"
AB28 AB77,2,2,2,"HT 102,HT 91"
AB31 AB60,2,2,2,"HT 27A,HT 30"
AB37 AB30,2,2,2,"HT 27A,HT 51A"
AB39 AB31,2,2,2,"HT 123B,KH 6"
AB40 AB31,2,2,2,"HT 113,KH 5"
AB41 AB04,2,2,2,"ZA 20,ZA 26A"
AB41 AB26,2,2,2,"HT 55A,HT 90"
AB41 AB39,2,2,2,"ZA 4A,ZA 5B"
AB41 AB51,2,2,2,"HT 110A,HT 123B"
AB41 AB67,2,2,2,"HT 116A,HT 8A"
AB50 AB131A,2,2,2,"HT 123A,HT 14"
AB50 AB76,2,2,2,"HT 116A,HT 28B"
AB51 AB24,2,2,2,"HT 127A,HT13"
AB51 AB60,2,2,2,"KN ZC 7,MA 2A"
AB53 AB26,2,2,2,"HT 118,PH 31B"
AB53 AB59,2,2,2,"HT 115A,KH 6"
AB54 AB07,2,2,2,"HT WC 3007,HT WC 3008A"
AB54 AB51,2,2,2,"HT 6B,HT 85B"
AB57 AB21F,2,2,2,"HT 28A,HT 28B"
AB57 AB27,2,2,2,"ARKH 1B,HT 87"
AB57 AB67,2,2,2,"PH 28A,ZA 26A"
AB57 AB81,2,2,2,"KN 1A,MA 2B"
AB58 AB29,2,2,2,"HT 63,HT 8B"
AB58 AB67,2,2,2,"HT ZB 158B,PH WA 32"
AB59 AB37,2,2,2,"HT 26A,HT 97A"
AB59 AB39,2,2,2,"ARKH 1A,HT 4"
AB59 [?],2,2,2,"KH 16,KH 64"
AB60 AB164A,2,2,2,"HT 17,HT 19"
AB60 AB53,2,2,2,"HT 113,HT 122A"
AB67 A310,2,2,2,"HT 27A,HT 37"
AB67 AB60,2,2,2,"HT 103,ZA 8"
AB67 AB67,2,2,2,"HT 85B,HT 88"
AB69 AB03,2,2,2,"HT 112A,HT 79 83"
AB69 AB13,2,2,2,"HT 154A,ZA 4A"
AB69 AB26,2,2,2,"HT 128A,HT 129"
AB69 [?],2,2,2,"KH 2,PH 31B"
AB73 AB67,2,2,2,"ARKH 1A,HT 26A"
AB73 AB69,2,2,2,"HT 117A,HT 135A"
AB73 [?],2,2,2,"HT 113 TER,ZA 20"
AB77 AB02,2,2,2,"HT 11A,HT 31"
AB77 AB07,2,2,2,"ZA 15B,ZA 4A"
AB77 AB10,2,2,2,"HT 13,HT 26B"
AB77 AB26,2,2,2,"HT 75,HT 97A"
AB77 AB28,2,2,2,"KN WC 3,ZA 8"
AB77 AB31,2,2,2,"HT 10B,KE 1"
AB78 AB37,2,2,2,"HT 58,HT 7A"
AB78 AB41,2,2,2,"ZA 15A,ZA 4A"
AB78 AB45,2,2,2,"MA 1A,MA 1B"
AB78 AB50,2,2,2,"HT 9A,HT 9B"
AB78 AB69,2,2,2,"HT 12,HT 41A"
