seq_id_a,sequence_a,seq_id_b,sequence_b,similarity
SEQ_265,AB56 AB30 AB06,SEQ_1072,AB56 AB30 AB40,0.500000
SEQ_267,AB67 AB01 AB02,SEQ_1094,AB67 AB01 AB59,0.500000
SEQ_268,AB67 AB53 AB66,SEQ_1097,AB67 AB27 AB66,0.500000
SEQ_268,AB67 AB53 AB66,SEQ_1100,AB67 AB53 AB41,0.500000
SEQ_269,AB78 AB76 AB10,SEQ_1130,AB78 AB76 AB57,0.500000
SEQ_271,AB81 AB27 AB65,SEQ_1012,AB31 AB27 AB65,0.500000
SEQ_271,AB81 AB27 AB65,SEQ_1152,AB81 AB80 AB65,0.500000
SEQ_272,AB81 AB79 AB30,SEQ_1150,AB81 AB79 AB06,0.500000
SEQ_274,DA NA TU,SEQ_1163,DA NA SI,0.500000
SEQ_274,DA NA TU,SEQ_1251,PA NA TU,0.500000
SEQ_275,DA QE RA,SEQ_1164,DA QE RA[,0.500000
SEQ_275,DA QE RA,SEQ_1168,DA TA RA,0.500000
SEQ_281,KI DA RO,SEQ_1208,KI DA TA,0.500000
SEQ_282,KI RE TA2,SEQ_1213,KI RE ZA,0.500000
SEQ_283,KI RI TA2,SEQ_1214,KI RI SI,0.500000
SEQ_283,KI RI TA2,SEQ_282,KI RE TA2,0.500000
SEQ_286,MI JA KA,SEQ_285,MI JA I,0.500000
SEQ_287,PA I TO,SEQ_1250,PA I KI[,0.500000
SEQ_288,PA3 NI NA,SEQ_1259,PA3 NI NA[,0.500000
SEQ_289,QE TU NE,SEQ_1279,QE TU RA,0.500000
SEQ_290,QIF TU NE,SEQ_289,QE TU NE,0.500000
SEQ_293,SI DA RE,SEQ_1304,SI AU RE,0.500000
SEQ_875,*309A RI JU,SEQ_1379,]*309B RI JU,0.500000
SEQ_882,*415VAS SU PU,SEQ_1278,QE SU PU,0.500000
SEQ_883,A DA RO,SEQ_1305,SI DA RO,0.500000
SEQ_883,A DA RO,SEQ_281,KI DA RO,0.500000
SEQ_887,A KI RO,SEQ_883,A DA RO,0.500000
SEQ_888,A KU TU,SEQ_892,A RA TU,0.500000
SEQ_891,A RA JU,SEQ_892,A RA TU,0.500000
SEQ_894,A RI PA,SEQ_893,A RI JA[,0.500000
SEQ_895,A RI SU,SEQ_893,A RI JA[,0.500000
SEQ_895,A RI SU,SEQ_894,A RI PA,0.500000
SEQ_898,A SE JA,SEQ_1256,PA SE JA,0.500000
SEQ_898,A SE JA,SEQ_889,A MA JA,0.500000
SEQ_899,A SU JA,SEQ_889,A MA JA,0.500000
SEQ_899,A SU JA,SEQ_898,A SE JA,0.500000
SEQ_901,A TA RE,SEQ_900,A TA NA,0.500000
SEQ_909,A312 AB04 AB04,SEQ_436,AB04 AB04,0.500000
SEQ_917,AB01 AB06 AB41,SEQ_1027,AB38 AB06 AB41,0.500000
SEQ_918,AB01 AB06 AB69,SEQ_917,AB01 AB06 AB41,0.500000
SEQ_918,AB01 AB06 AB69,SEQ_933,AB03 AB06 AB69,0.500000
SEQ_922,AB01 AB59 AB27,SEQ_1126,AB77 AB59 AB27,0.500000
SEQ_922,AB01 AB59 AB27,SEQ_965,AB08 AB59 AB27,0.500000
SEQ_923,AB01 AB59 AB60,SEQ_1033,AB39 AB59 AB60,0.500000
SEQ_923,AB01 AB59 AB60,SEQ_922,AB01 AB59 AB27,0.500000
SEQ_926,AB01 AB81 AB06,SEQ_1052,AB47 AB81 AB06,0.500000
SEQ_932,AB03 AB02 AB58,SEQ_931,AB03 AB02 AB30,0.500000
SEQ_935,AB03 AB53 AB24,SEQ_251,AB03 AB59 AB24,0.500000
SEQ_935,AB03 AB53 AB24,SEQ_936,AB03 AB53 AB45,0.500000
SEQ_938,AB03 AB59 AB78,SEQ_250,AB03 AB59 AB01,0.500000
SEQ_938,AB03 AB59 AB78,SEQ_251,AB03 AB59 AB24,0.500000
SEQ_938,AB03 AB59 AB78,SEQ_937,AB03 AB55 AB78,0.500000
SEQ_940,AB04 AB56 AB27,SEQ_939,AB04 AB55 AB27,0.500000
SEQ_942,AB06 AB01 AB27,SEQ_262,AB41 AB01 AB27,0.500000
SEQ_946,AB07 AB06 AB02,SEQ_088,AB07 AB06 AB10,0.500000
SEQ_949,AB08 AB01 AB02,SEQ_267,AB67 AB01 AB02,0.500000
SEQ_951,AB08 AB06 [?],SEQ_1042,AB41 AB06 [?],0.500000
SEQ_951,AB08 AB06 [?],SEQ_913,A320 AB06 [?],0.500000
SEQ_951,AB08 AB06 [?],SEQ_962,AB08 AB56 [?],0.500000
SEQ_951,AB08 AB06 [?],SEQ_966,AB08 AB59 [?],0.500000
SEQ_956,AB08 AB37 AB26,SEQ_957,AB08 AB37 AB77,0.500000
SEQ_959,AB08 AB51 AB27,SEQ_965,AB08 AB59 AB27,0.500000
SEQ_961,AB08 AB53 AB58,SEQ_960,AB08 AB53 AB57,0.500000
SEQ_963,AB08 AB58 AB57,SEQ_960,AB08 AB53 AB57,0.500000
SEQ_963,AB08 AB58 AB57,SEQ_972,AB08 AB80 AB57,0.500000
SEQ_963,AB08 AB58 AB57,SEQ_973,AB08 [?] AB57,0.500000
SEQ_964,AB08 AB59 A350,SEQ_965,AB08 AB59 AB27,0.500000
SEQ_964,AB08 AB59 A350,SEQ_966,AB08 AB59 [?],0.500000
SEQ_966,AB08 AB59 [?],SEQ_962,AB08 AB56 [?],0.500000
SEQ_966,AB08 AB59 [?],SEQ_965,AB08 AB59 AB27,0.500000
SEQ_967,AB08 AB60 AB65,SEQ_968,AB08 AB60 AB69,0.500000
SEQ_969,AB08 AB67 AB02,SEQ_949,AB08 AB01 AB02,0.500000
SEQ_972,AB08 AB80 AB57,SEQ_960,AB08 AB53 AB57,0.500000
SEQ_972,AB08 AB80 AB57,SEQ_973,AB08 [?] AB57,0.500000
SEQ_973,AB08 [?] AB57,SEQ_960,AB08 AB53 AB57,0.500000
SEQ_989,AB16 AB37 AB67,SEQ_988,AB16 AB37 AB65,0.500000
SEQ_993,AB24 AB73 AB06,SEQ_1148,AB81 AB73 AB06,0.500000
SEQ_995,AB26 AB79 AB06,SEQ_1150,AB81 AB79 AB06,0.500000
