suffix,length,count,artifact_count,artifacts
PA,1,31,26,"ARKH 1,HT 102,HT 104,HT 110,HT 112,HT 120,HT 125,HT 128,HT 140,HT 38,HT 43,HT 6,HT 8,HT 93,HT 94,KH 27,KH 29,PA 1,PE 1,PE 2,ZA 11,ZA 18,ZA 28,ZA 4,ZA 6,ZA 8"
AB09,1,30,27,"GO WC 1A,HT 117B,HT 132,HT 18,HT 21,HT 27B,HT 6B,HT 81,HT 85B,HT 87,HT 93A,HT ZB 159,HT13,HT31,KH 28,KH 7B,KH 95,KH 97B,ZA 10A,ZA 10B,ZA 14,ZA 15A,ZA 20,ZA 4A,ZA 5A,ZA 6A,ZA 8"
AB67,1,30,29,"ARKH 1A,HT 122A,HT 123A,HT 13,HT 154,HT 37,HT 54A,HT 54B,HT 62 73,HT 6B,HT 81,HT ZB 158A,HT13,HT31,HT95,KH 7A,KH 92,KN WB 33A,KN ZB 40,PH 2,PH 7A,TY 2,ZA 15A,ZA 21B,ZA 26A,ZA 27,ZA 4A,ZA 5B,ZA10"
KI,1,30,29,"HT 101,HT 122,HT 125,HT 129,HT 13,HT 140,HT 18,HT 24,HT 28,HT 37,HT 44,HT 50,HT 52,HT 56,HT 58,HT 6,HT 8,HT 91,HT8,KH 7,KH 92,PH 2,TY 2,TY 3,ZA 15,ZA 18,ZA 27,ZA 4,ZA 5"
GRA,1,29,27,"ARKH 3,ARKH 5,HT 101,HT 102,HT 114,HT 115,HT 121,HT 125,HT 129,HT 131,HT 14,HT 15,HT 18,HT 21,HT 28,HT 34,HT 40,HT 52,HT 62 73,HT 90,HT 92,HT 95,HT 96,KH 10,KH 61,KH 91,ZA 1"
VINA,1,29,25,"HT 100,HT 114,HT 121,HT 123 124,HT 130,HT 14,HT 19,HT 23,HT 27,HT 28,HT 30,HT 35,HT 60,HT 62 73,HT 89,HT 9,HT 91,HT 99,KH 11,PH 25,PH 31,PH 9,PS ZA 2,ZA 11,ZA 15"
DI,1,28,27,"HT 101,HT 111,HT 118,HT 12,HT 121,HT 122,HT 129,HT 140,HT 141,HT 19,HT 27,HT 28,HT 3,HT 36,HT 4,HT 69,HT 8,HT 85,HT 90,HT 94,HT 97,HT WC 3008,PH 31,ZA 14,ZA 15,ZA 26,ZA 4"
MI,1,27,27,"ARKH 1,ARKH 2,ARKH 4,HT 100,HT 101,HT 110,HT 117,HT 125,HT 127,HT 137,HT 28,HT 29,HT 47,HT 50,HT 6,HT 85,HT 87,HT 89,HT 90,HT 91,KN 28,PE 2,PH 14,PH 31,PK 1,TY 3,ZA 1"
RA2,1,27,26,"HT 100,HT 101,HT 102,HT 105,HT 11,HT 114,HT 116,HT 121,HT 125,HT 130,HT 18,HT 28,HT 30,HT 32,HT 33,HT 34,HT 54,HT 89,HT 90,HT 93,HT 94,HT 97,HT 99,HT10,HT12,ZA 6"
AB03,1,26,26,"HT 102,HT 104,HT 110A,HT 112A,HT 122A,HT 140,HT 16,HT 38,HT 45A,HT 6A,HT 8B,HT 94A,HT WA 1020,HT WC 3015A,HT WC 3016A,HT13,HT31,HT95,KH 29,KN 32B,ZA 11A,ZA 11B,ZA 13,ZA 21A,ZA 4A,ZA 8"
AB07,1,26,26,"HT 101,HT 118,HT 122A,HT 122B,HT 128A,HT 140,HT 141,HT 19,HT 27A,HT 3,HT 36,HT 4,HT 66,HT 69,HT 85B,HT 8A,HT 94B,HT 97A,HT WC 3008B,KN ZB 35,PH 31A,PH WC 39A,ZA 14,ZA 15B,ZA 26A,ZA 4A"
AB69,1,26,24,"ARKH 6,HT 115A,HT 117A,HT 119,HT 122A,HT 13,HT 135A,HT 41A,HT 42 59,HT 47A,HT 52A,HT 55A,HT 7A,HT 87,HT 94B,HT 98A,HT 9A,HT 9B,HT WA 1019,KH 51,KH 57,KH 7B,ZA 20,ZA 7A"
