trigram,count,relative_frequency
DA TO I,1,0.000547
A SU PU,1,0.000547
SU PU WA,1,0.000547
AB08 AB41 AB01,1,0.000547
AB41 AB01 AB05,1,0.000547
AB01 AB05 AB28,1,0.000547
AB08 AB58 AB50,1,0.000547
AB58 AB50 AB54,1,0.000547
AB41 AB01 AB04,1,0.000547
AB79 A301 AB09,1,0.000547
A301 AB09 AB45,1,0.000547
AB09 AB45 AB21F,1,0.000547
AB45 AB21F AB118,1,0.000547
AB81 AB60 AB131B,1,0.000547
SI DA TE,1,0.000547
ZU SE DE,1,0.000547
SE DE QIF,1,0.000547
[?] AB57 AB39,1,0.000547
A KI RO,1,0.000547
PI TI NE,1,0.000547
TI NE A,1,0.000547
ZA SI ZU,1,0.000547
AB08 [?] [?],1,0.000547
[?] [?] AB65,1,0.000547
AB39 AB37 AB24,1,0.000547
AB37 AB24 AB08,1,0.000547
AB24 AB08 [?],1,0.000547
AB45 AB58 [?],1,0.000547
AB58 [?] AB47,1,0.000547
[?] AB47 AB04,1,0.000547
[?] AB30 AB59,1,0.000547
AB08 AB67 AB02,1,0.000547
AB17? AB41 AB79,1,0.000547
A DA RO,1,0.000547
A DU NI,1,0.000547
DU NI TA,1,0.000547
NI TA NA,1,0.000547
AB08 AB01 AB02,1,0.000547
AB08 AB51 AB30,1,0.000547
AB51 AB30 AB59,1,0.000547
AB30 AB59 AB06,1,0.000547
AB01 AB06 AB69,1,0.000547
SI DA RO,1,0.000547
AB08 AB31 AB58,1,0.000547
AB31 AB58 AB80,1,0.000547
AB58 AB80 AB28,1,0.000547
AB80 AB28 AB09,1,0.000547
A RA NA,1,0.000547
RA NA RE,1,0.000547
AB07 AB07 AB17,1,0.000547
AB07 AB17 AB44,1,0.000547
AB08 AB60 AB06,1,0.000547
DI DI ZA,1,0.000547
DI ZA KE,1,0.000547
RA2 U KI,1,0.000547
U KI RO,1,0.000547
KA SA RU,1,0.000547
TA RI NA,1,0.000547
AB79 AB22F AB07,1,0.000547
ZU 22F DI,1,0.000547
]VIR GRA PA,1,0.000547
AB01 AB81 AB06,1,0.000547
AB56 AB01 AB81,1,0.000547
DA KU NA,1,0.000547
KU SE NE[,1,0.000547
AB09 AB24 AB37,1,0.000547
AB03 AB01 AB58,1,0.000547
AB01 AB58 AB37,1,0.000547
AB28 AB51 AB37,1,0.000547
SE NE TI,1,0.000547
I DU TI,1,0.000547
PA DA SU,1,0.000547
DA SU TI,1,0.000547
AB07 AB06 AB02,1,0.000547
AB51 AB58 AB30,1,0.000547
DI NA RO,1,0.000547
DU SU NI,1,0.000547
[?] AB76 AB37,1,0.000547
AB76 AB37 AB65,1,0.000547
A RA JU,1,0.000547
AB59 AB53 AB06,1,0.000547
AB77 AB31 AB26,1,0.000547
A RU RA,1,0.000547
A SU JA,1,0.000547
KA RO NA,1,0.000547
RU ZU NA,1,0.000547
SA QE RI,1,0.000547
SI DU KU,1,0.000547
AB41 AB51 AB34,1,0.000547
AB51 AB34 AB81,1,0.000547
AB34 AB81 AB73,1,0.000547
AB60 AB53 AB45,1,0.000547
RA RI DE[,1,0.000547
A SE JA,1,0.000547
DU PA3 NA,1,0.000547
I GRA *22M,1,0.000547
KA PO RU,1,0.000547
KU RU MA,1,0.000547
NA QIF NE,1,0.000547
QIF NE MI,1,0.000547
NU RA JA,1,0.000547
RI TA MA,1,0.000547
TA MA NU,1,0.000547
MA NU WI,1,0.000547
SE KU TU,1,0.000547
TI NU JA,1,0.000547
NU JA NU,1,0.000547
JA NU WI,1,0.000547
]RU PA RA,1,0.000547
AB21F AB24 AB73,1,0.000547
AB08 AB09 AB57,1,0.000547
AB09 AB57 A718,1,0.000547
AB09 AB81 AB69,1,0.000547
AB47 AB55 AB60,1,0.000547
AB55 AB60 AB56,1,0.000547
AB53 AB59 AB80,1,0.000547
AB59 AB80 AB55,1,0.000547
AB80 AB55 AB40,1,0.000547
AB77 AB11 AB26,1,0.000547
A306 AB69 AB57,1,0.000547
AB08 AB28 [?],1,0.000547
AB28 [?] [?],1,0.000547
AB37 AB55 AB57,1,0.000547
AB51 AB56 AB06,1,0.000547
AB81 AB26 AB80,1,0.000547
KU PA JA,1,0.000547
SI KI NE,1,0.000547
U TA RO,1,0.000547
AB10 AB59 AB02,1,0.000547
AB39 AB34 AB04,1,0.000547
AB41 AB67 AB24,1,0.000547
AB81 AB03 AB57,1,0.000547
DA MI NU,1,0.000547
DA NE KU,1,0.000547
NE KU TI,1,0.000547
KO SA I,1,0.000547
SA I TI,1,0.000547
KU KU DA,1,0.000547
KU DA RA,1,0.000547
KU RA MU,1,0.000547
KU RE JU,1,0.000547
RI TE KI,1,0.000547
TE KI RO,1,0.000547
KI RO U,1,0.000547
RO U MI,1,0.000547
MI RU TA,1,0.000547
RU TA RA,1,0.000547
TA RA RE,1,0.000547
NA DA RE,1,0.000547
TE JA RE,1,0.000547
U DI MI,1,0.000547
AB01 AB24 AB81,1,0.000547
AB24 AB81 AB37,1,0.000547
AB01 AB73 AB55,1,0.000547
AB04 AB56 AB27,1,0.000547
AB06 AB01 AB27,1,0.000547
AB10 AB07 AB73,1,0.000547
AB69 AB65 AB80,1,0.000547
AB70 AB31 AB28,1,0.000547
AB31 AB28 AB37,1,0.000547
AB73 AB26 AB59,1,0.000547
AB26 AB59 AB60,1,0.000547
AB59 AB60 AB27,1,0.000547
AB81 AB60 AB23,1,0.000547
AB81 AB81 AB01,1,0.000547
AB81 AB01 AB60,1,0.000547
A RI SU,1,0.000547
AB08 AB53 AB58,1,0.000547
SUS I [?],1,0.000547
AB53 AB73 AB41,1,0.000547
RI MI SI,1,0.000547
AB08 AB26 AB60,1,0.000547
AB26 AB60 [?],1,0.000547
AB08 AB58 AB57,1,0.000547
AB77 AB02 AB06,1,0.000547
AB26 AB79 AB06,1,0.000547
AB31 AB78 AB53,1,0.000547
AB16 AB37 AB01,1,0.000547
AB37 AB01 AB04,1,0.000547
AB78 AB69 AB24,1,0.000547
QA TI DA,1,0.000547
TI DA TE,1,0.000547
[?] PU RE,1,0.000547
AB01 AB10 AB49,1,0.000547
OLE QE DI,1,0.000547
]A RA JU,1,0.000547
RA JU U,1,0.000547
JU U DE,1,0.000547
]RA RI U,1,0.000547
RI U DE,1,0.000547
AB03 AB53 AB24,1,0.000547
AB57 AB73 AB01,1,0.000547
AB73 AB01 AB27,1,0.000547
A306 AB67 AB66,1,0.000547
AB60 AB65 AB10,1,0.000547
AB65 AB10 AB45,1,0.000547
DU MA I,1,0.000547
MA I NA,1,0.000547
KI TA I,1,0.000547
TI DA TA,1,0.000547
TU PA DI,1,0.000547
PA DI DA,1,0.000547
AB67 AB59 AB28,1,0.000547
AB37 AB01 AB59,1,0.000547
AB51 AB80 AB28,1,0.000547
AB80 AB28 AB06,1,0.000547
AB69 AB02 AB07,1,0.000547
AB02 AB07 AB01,1,0.000547
DA NA SI,1,0.000547
SI DI JA,1,0.000547
AB01 AB06 AB41,1,0.000547
AB08 AB06 [?],1,0.000547
AB41 AB07 AB57,1,0.000547
PA DA KU[,1,0.000547
]DU NE MI,1,0.000547
A629 AB01 AB47,1,0.000547
AB01 AB47 AB81,1,0.000547
AB51 AB24 AB73,1,0.000547
TU RU NU,1,0.000547
RU NU SE,1,0.000547
NU SE ME,1,0.000547
WA TU MA,1,0.000547
TU MA RE,1,0.000547
AB54 AB69 AB80,1,0.000547
AB69 AB80 AB27,1,0.000547
AB69 AB26 AB56,1,0.000547
AB26 AB56 AB09,1,0.000547
AB56 AB09 AB13,1,0.000547
AB69 AB21F AB53,1,0.000547
AB21F AB53 AB06,1,0.000547
AB69 AB26 AB66,1,0.000547
TU QIF RI,1,0.000547
QIF RI NA,1,0.000547
AB28 AB51 AB24,1,0.000547
AB51 AB24 AB41,1,0.000547
AB77 AB10 AB45,1,0.000547
AB10 AB45 AB59,1,0.000547
I DU NE,1,0.000547
DU NE SI,1,0.000547
KA U DE,1,0.000547
U DE TA,1,0.000547
AB16 AB27 AB05,1,0.000547
QA RE TO,1,0.000547
TE GRA DA,1,0.000547
NA QIF NE[,1,0.000547
[?] AB34? AB59,1,0.000547
AB34? AB59 AB24,1,0.000547
PU MA KU[,1,0.000547
[?] AB50 AB80,1,0.000547
AB50 AB80 AB81,1,0.000547
A PU2 NA,1,0.000547
PU2 NA DU,1,0.000547
AB08 AB29 AB06,1,0.000547
AB29 AB06 AB51,1,0.000547
AB86 AB41 AB30,1,0.000547
U SI SI,1,0.000547
SI SI NI,1,0.000547
[?] AB118 AB77,1,0.000547
[?] AB08 AB53,1,0.000547
AB53 AB77 AB59,1,0.000547
RI KA TA,1,0.000547
AB51 AB123 AB08,1,0.000547
AB69 AB13 AB03,1,0.000547
AB13 AB03 AB57,1,0.000547
TU ME PA,1,0.000547
ME PA JA,1,0.000547
KA KU PA,1,0.000547
KU PA DI,1,0.000547
PA DI NA,1,0.000547
AB51 AB13 AB07,1,0.000547
DU ME DI,1,0.000547
]KI RE TA,1,0.000547
AB03 AB02 AB58,1,0.000547
AB31 AB27 AB65,1,0.000547
AB78 AB81 AB27,1,0.000547
AB81 AB80 AB65,1,0.000547
KU MA JU,1,0.000547
PA RO SU,1,0.000547
QE KU RE,1,0.000547
SA RE JU,1,0.000547
AB39 AB59 AB77,1,0.000547
AB59 AB77 AB09,1,0.000547
PI TA KA,1,0.000547
TA KA SE,1,0.000547
QIF RI TU,1,0.000547
RI TU QA,1,0.000547
SA SA ME,1,0.000547
