bigram,count,relative_frequency
GRA QE,3,0.000750
AB07 AB53,3,0.000750
AB28 AB77,3,0.000750
DI RI,3,0.000750
AB81 AB06,3,0.000750
AB81 AB09,3,0.000750
AB09 AB24,3,0.000750
KU SE,3,0.000750
AB28 AB51,3,0.000750
I DU,3,0.000750
NU TE,3,0.000750
AB59 AB53,3,0.000750
KU MI,3,0.000750
AB41 AB51,3,0.000750
KI RI,3,0.000750
RI TA2,3,0.000750
AB53 AB66,3,0.000750
KU RU,3,0.000750
NE MI,3,0.000750
RI TA,3,0.000750
KU TU,3,0.000750
AB24 AB73,3,0.000750
AB81 AB69,3,0.000750
AB53 AB59,3,0.000750
AB59 AB80,3,0.000750
AB56 AB06,3,0.000750
AB81 AB26,3,0.000750
SI KI,3,0.000750
SI SE,3,0.000750
AB10 AB59,3,0.000750
AB41 AB67,3,0.000750
DI KI,3,0.000750
KI SE,3,0.000750
DA RA,3,0.000750
KU RE,3,0.000750
RE JU,3,0.000750
KA RI,3,0.000750
TE KI,3,0.000750
RA RE,3,0.000750
QIF TU,3,0.000750
TU JU,3,0.000750
JU MA,3,0.000750
AB77 AB53,3,0.000750
AB67 AB09,3,0.000750
AB27 AB65,3,0.000750
AB16 AB16,3,0.000750
AB16 AB26,3,0.000750
RI RU,3,0.000750
AB60 [?],3,0.000750
AB16 AB37,3,0.000750
QA TI,3,0.000750
QE TU,3,0.000750
AB10 AB49,3,0.000750
AB01 AB13,3,0.000750
AB01 AB78,3,0.000750
AB78 AB60,3,0.000750
AB03 AB28,3,0.000750
DA ME,3,0.000750
DA QE,3,0.000750
QA I,3,0.000750
U DE,3,0.000750
A324 AB07,3,0.000750
AB03 AB45,3,0.000750
AB03 AB53,3,0.000750
AB10 AB45,3,0.000750
DU MA,3,0.000750
I NA,3,0.000750
AB01 AB67,3,0.000750
AB67 AB59,3,0.000750
AB51 AB80,3,0.000750
AB77 AB06,3,0.000750
RE TA2,3,0.000750
AB08 AB06,3,0.000750
AB41 AB07,3,0.000750
KI ME,3,0.000750
AB51 AB24,3,0.000750
MA RI,3,0.000750
AB73 AB59,3,0.000750
AB21F AB53,3,0.000750
QIF RI,3,0.000750
KA U,3,0.000750
KU ZU,3,0.000750
ZU NI,3,0.000750
TE TU,3,0.000750
AB59 AB24,3,0.000750
U SI,3,0.000750
AB77 AB59,3,0.000750
KA KU,3,0.000750
NA U,3,0.000750
TE VINA,3,0.000750
A KA,3,0.000750
OLE E,3,0.000750
OLE TU,3,0.000750
SA SA,3,0.000750
AB31 AB31,3,0.000750
AB31 AB53,3,0.000750
RI NI,3,0.000750
AB53 AB30,3,0.000750
AB28 AB67,3,0.000750
SA RA,3,0.000750
AB37 AB30,3,0.000750
SI JA,3,0.000750
I TA,3,0.000750
AB41 AB57,3,0.000750
AB59 AB57,3,0.000750
AB08 AB27,3,0.000750
SA MI,3,0.000750
JA I,3,0.000750
AB41 AB69,3,0.000750
AB28 AB123,3,0.000750
MA TI,3,0.000750
DU RI,3,0.000750
AB80 AB41,3,0.000750
MA SI,3,0.000750
TU SU,3,0.000750
AB58 AB29,3,0.000750
FIC TE,3,0.000750
OLE MI[,3,0.000750
RA TI,3,0.000750
NI MI,3,0.000750
[?] AB06,3,0.000750
AB60 AB37,3,0.000750
DA RU,3,0.000750
AB26 AB57,3,0.000750
AB01 AB26,3,0.000750
AB55 AB37,3,0.000750
AB69 [?],3,0.000750
AB45 AB26,3,0.000750
AB55 AB04,3,0.000750
AB59 AB27,3,0.000750
TA RE,3,0.000750
TO EACH,3,0.000750
AB04 AB53,3,0.000750
TE RI,3,0.000750
AB07 AB30,3,0.000750
AB39 [?],3,0.000750
AB30 AB77,3,0.000750
AB58 AB67,3,0.000750
AB54 AB67,3,0.000750
AB22 AB03,3,0.000750
AB57 AB41,3,0.000750
*401VAS RU,3,0.000750
AB28 AB41,3,0.000750
*401VAS RA,3,0.000750
AU RE,3,0.000750
I SE,3,0.000750
AB57 AB81,3,0.000750
AB51 AB60,3,0.000750
A KU,3,0.000750
AB08 AB81,3,0.000750
HT 122A,3,0.000750
HT HT,3,0.000750
AB28 AB01,3,0.000750
IB NU,3,0.000750
SI PI,3,0.000750
PI KI,3,0.000750
AB28B AB55,3,0.000750
SU MI,2,0.000500
]TA PI,2,0.000500
AB03 [?],2,0.000500
AB58 AB73,2,0.000500
AB59 AB39,2,0.000500
AB73 AB67,2,0.000500
AB67 AB31,2,0.000500
TO I,2,0.000500
A SU,2,0.000500
AB05 AB28,2,0.000500
AB01 AB04,2,0.000500
DA TE,2,0.000500
JA PI,2,0.000500
AB57 AB39,2,0.000500
A KI,2,0.000500
NE A,2,0.000500
ZA SI,2,0.000500
[?] AB65,2,0.000500
AB58 [?],2,0.000500
AB08 AB67,2,0.000500
AB01 AB06,2,0.000500
AB58 AB80,2,0.000500
RA NA,2,0.000500
AB60 AB06,2,0.000500
AB06 AB27,2,0.000500
RA2 U,2,0.000500
KA SA,2,0.000500
ME ZA,2,0.000500
TA RI,2,0.000500
U TI,2,0.000500
U ZA,2,0.000500
TI A,2,0.000500
VIR *313A,2,0.000500
OLIV TU,2,0.000500
I KA,2,0.000500
KU NA,2,0.000500
SE NE,2,0.000500
AB01 AB58,2,0.000500
NE TI,2,0.000500
TE RO,2,0.000500
[?] AB76,2,0.000500
AB37 AB65,2,0.000500
RA JU,2,0.000500
AB60 AB65,2,0.000500
AB10 A325,2,0.000500
A325 AB17,2,0.000500
AB13 AB17,2,0.000500
AB10 AB37,2,0.000500
AB77 AB31,2,0.000500
KA RO,2,0.000500
VIR I,2,0.000500
SI DU,2,0.000500
DU KU,2,0.000500
]TU PA,2,0.000500
AB69 AB03,2,0.000500
AB40 AB31,2,0.000500
AB60 AB53,2,0.000500
AB53 AB45,2,0.000500
SA VINA,2,0.000500
